positive;comparative;superlative;campaignSetting;tags
nördlich;nördlicher;nördlichste;Universal;Norden
südlich;südlicher;südlichste;Universal;Süden
westlich;westlicher;westlichste;Universal;Westen
östlich;östlicher;östlichste;Universal;Osten
nordwestlich;nordwestlicher;nordwestlichste;Universal;Nordwesten
nordöstlich;nordöstlicher;nordöstlichste;Universal;Nordosten
südwestlich;südwestlicher;südwestlichste;Universal;Südwesten
südöstlich;südöstlicher;südöstlichste;Universal;Südosten
nordnordwestlich;nordnordwestlicher;nordnordwestlichste;Universal;Nordnordwesten
nordnordöstlich;nordnordöstlicher;nordnordöstlichste;Universal;Nordnordosten
südsüdwestlich;südsüdwestlicher;südsüdwestlichste;Universal;Südsüdwesten
südsüdöstlich;südsüdöstlicher;südsüdöstlichste;Universal;Südsüdosten
westnordwestlich;westnordwestlicher;westnordwestlichste;Universal;Westnordwesten
ostnordöstlich;ostnordöstlicher;ostnordöstlichste;Universal;Ostnordosten
westsüdwestlich;westsüdwestlicher;westsüdwestlichste;Universal;Westsüdwesten
ostsüdöstlich;ostsüdöstlicher;ostsüdöstlichste;Universal;Ostsüdosten
nordwestsüdwestlich;nordwestsüdwestlicher;nordwestsüdwestlichste;Universal;Nordwestsüdwesten
nordostsüdöstlich;nordostsüdöstlicher;nordostsüdöstlichste;Universal;Nordostsüdosten
südwestnordwestlich;südwestnordwestlicher;südwestnordwestlichste;Universal;Südwestnordwest
südostnordöstlich;südostnordöstlicher;südostnordöstlichste;Universal;Südostnordosten
