positive;comparative;superlative;campaignSetting;tags
anmutig;anmutiger;anmutigste;Universal;Anmut
anziehend;anziehender;anziehenste;Universal;Anziehung
attraktiv;attraktiver;attraktivste;Universal;Attraktivität
auffällig;auffälliger;auffälligste;Universal;Auffälligkeit
ausdrucksstark;ausdrucksstärker;ausdrucksstärkste;Universal;Ausdrucksstärke
beeindruckend;beeindruckender;beeindruckenste;Universal;Eindruck
charmant;charmanter;charmanteste;Universal;Charme
elegant;eleganter;eleganteste;Universal;Eleganz
gepflegt;gepflegter;gepflegteste;Universal;Gepflegtsein
gutaussehend;gutaussehender;gutaussehendste;Universal;Gutes Aussehen
hinreißend;hinreißender;hinreißenste;Universal;Hinreißung
markant;markanter;markanteste;Universal;Markanz
modisch;modischer;modischste;Universal;Mode
muskulös;muskulöser;muskulöseste;Universal;Muskeln
schick;schicker;schickste;Universal;Schick
schlank;schlanker;schlankeste;Universal;Schlankheit
selbstbewusst;selbstbewusster;selbstbewussteste;Universal;Selbstbewusstsein
strahlend;strahlender;strahlendste;Universal;Ausstrahlung
stylisch;stylischer;stylischste;Universal;Stil
verführerisch;verführerischer;verführerrischste;Universal;Verführung
