syl1;syl2;syl3;syl4;syl5
A;bi;ri;;a
A;di;;;a
A;di;;;a
A;di;;;a
Aa;di;;;a
Ai;di;;;bah
Cha;han;;;bar
Da;hi;;;da
Eh;hi;;;da
El;i;;;da
Fa;ji;;;feh
Fa;ki;;;fron
Ga;ki;;;ha
Ie;ki;;;ham
In;li;;;har
Ka;li;;;ja
Kha;li;;;la
Lay;ma;;;la
Lu;mi;;;la
Na;mi;;;la
Na;te;;;lah
Na;te;;;ma
Na;ti;;;ma
Nai;;;;ma
Naj;;;;ma
Nash;;;;ma
Naw;;;;mah
Nu;;;;mar
Nu;;;;na
O;;;;na
Qa;;;;na
Qa;;;;na
Qis;;;;na
Ra;;;;nab
Ri;;;;ne
Sa;;;;pe
Sa;;;;ra
Sa;;;;ra
Saa;;;;ra
Saf;;;;ra
Sal;;;;ra
Sha;;;;ra
Ta;;;;rah
Ta;;;;san
Tha;;;;sha
Ya;;;;sha
Zah;;;;tha
Zai;;;;wa
Zai;;;;wa
Zei;;;;yah
