syl1;syl2;syl3;syl4;syl5;prefix
A;a;ba;fi;a;Ban 
A;a;bul;pu;a;Abu 
A;ai;ci;;a;al-
A;at;da;;a;Al 
A;ba;di;;ab;Ibn 
A;ba;dji;;ab;Bin 
A;ba;gi;;ad;Bu 
A;ba;hi;;ad;Rais 
A;ba;i;;ad;El 
A;ba;i;;ad;
A;ba;i;;aid;
A;bai;ko;;al;
A;bar;la;;ams;
A;be;la;;an;
A;bei;lu;;an;
A;bel;ma;;ar;
A;ber;mi;;ath;
A;bha;mo;;az;
A;bi;nous;;az;
A;bi;ou;;ba;
A;bi;ou;;ba;
A;bi;ou;;ba;
A;bi;ra;;ba;
A;bi;ran;;bagh;
A;bi;ri;;bagh;
A;bit;rud;;bal;
A;bou;ta;;bal;
A;bou;ta;;ban;
A;bra;te;;bar;
A;bu;us;;bar;
A;bu;yo;;bas;
A;bul;ze;;bas;
A;ce;zi;;beid;
A;cha;zo;;ber;
A;chi;;;bet;
A;cho;;;beur;
A;ci;;;bhi;
A;da;;;bi;
A;da;;;bi;
A;da;;;bi;
A;da;;;bi;
A;da;;;bi;
A;da;;;bi;
A;da;;;bi;
A;da;;;bi;
A;da;;;bi;
A;da;;;bi;
A;de;;;bi;
A;de;;;bi;
A;di;;;bi;
A;di;;;bi;
A;di;;;bi;
A;do;;;bib;
A;dou;;;bib;
Aa;dou;;;bib;
Ab;dou;;;bih;
Ab;dra;;;bir;
Ab;dul;;;bli;
Ab;e;;;bol;
Ab;ee;;;boud;
Ab;fa;;;boul;
Ab;fa;;;bran;
Ad;fa;;;bri;
Ad;faz;;;bus;
Ad;fe;;;by;
Ad;ful;;;cem;
Ah;ga;;;cem;
Ah;ghou;;;cer;
Ah;gi;;;che;
Ah;gu;;;che;
Ah;gui;;;che;
Aj;ha;;;che;
Aj;ha;;;chi;
Ak;ha;;;chi;
Ak;ha;;;chi;
Al;ha;;;chi;
Al;ha;;;chi;
Am;ha;;;chi;
Am;ha;;;chi;
An;ha;;;chi;
An;ham;;;chi;
Ar;ham;;;ci;
As;he;;;da;
As;hi;;;da;
As;hi;;;da;
As;ho;;;dad;
As;ho;;;daf;
Ash;ho;;;dah;
Ash;hou;;;dak;
At;hou;;;dal;
At;hou;;;dal;
At;hou;;;dam;
At;hu;;;dan;
Au;i;;;dan;
Az;i;;;dan;
Ba;in;;;dan;
Ba;ja;;;dar;
Ba;ja;;;dar;
Ba;ja;;;dar;
Ba;ja;;;dat;
Ba;ja;;;dek;
Ba;ji;;;del;
Ba;ji;;;dem;
Ba;ji;;;den;
Ba;jis;;;der;
Ba;jo;;;di;
Ba;ka;;;di;
Ba;ka;;;di;
Ba;ka;;;di;
Ba;ka;;;di;
Ba;ka;;;di;
Ba;ke;;;di;
Ba;kha;;;di;
Bagh;ki;;;di;
Bah;kou;;;di;
Bah;kra;;;di;
Bak;kral;;;di;
Bar;kri;;;di;
Bar;la;;;di;
Bar;la;;;di;
Bar;la;;;di;
Bas;la;;;di;
Bas;la;;;di;
Bat;la;;;di;
Baz;la;;;di;
Be;la;;;di;
Be;la;;;di;
Be;la;;;di;
Bel;la;;;di;
Bel;lay;;;di;
Bel;li;;;dib;
Ben;li;;;did;
Ben;li;;;dil;
Ben;li;;;dil;
Ben;lo;;;din;
Ben;lou;;;din;
Bet;lou;;;din;
Bi;lu;;;din;
Bi;lu;;;dir;
Bi;m;;;dir;
Bou;ma;;;dir;
Bou;ma;;;dir;
Bou;ma;;;dou;
Bou;ma;;;doun;
Bou;ma;;;dri;
Bous;ma;;;dul;
Bsei;ma;;;dul;
Bu;ma;;;dy;
Bur;ma;;;een;
Cha;ma;;;ei;
Cha;ma;;;ei;
Cha;mar;;;eid;
Chai;mash;;;el;
Chak;mi;;;el;
Chal;mi;;;em;
Chat;mi;;;em;
Che;mi;;;en;
Chish;mi;;;en;
Da;mi;;;er;
Da;mi;;;er;
Dab;mo;;;ez;
Dab;mo;;;ez;
Dah;mo;;;fa;
Dai;moo;;;fai;
Dam;mou;;;fal;
Dan;mou;;;fan;
Dar;mou;;;far;
Deh;mu;;;far;
Di;na;;;far;
Di;na;;;fat;
Di;na;;;fi;
Din;na;;;fi;
Du;na;;;fi;
Dzi;na;;;fi;
E;nal;;;fi;
E;ne;;;fi;
E;ne;;;fif;
E;ne;;;fik;
El;nou;;;fiq;
El;nou;;;fiq;
El;o;;;four;
En;qa;;;fri;
Fa;qi;;;fur;
Fa;ra;;;gar;
Fa;ra;;;gat;
Fa;ra;;;gel;
Fa;ra;;;gha;
Fa;ra;;;gheb;
Fa;ra;;;ghi;
Fa;ra;;;gil;
Fa;ra;;;gis;
Fa;ra;;;gui;
Fa;ra;;;gui;
Fa;ra;;;ha;
Fadh;ra;;;ha;
Fah;ra;;;ha;
Fah;ra;;;ha;
Fai;ra;;;ha;
Fak;ra;;;had;
Fak;ra;;;had;
Far;ra;;;had;
Far;ral;;;ham;
Far;re;;;han;
Far;re;;;har;
Fas;red;;;has;
Faw;ri;;;has;
Fer;ri;;;hat;
Fi;ri;;;hat;
Fi;ri;;;hed;
Ga;ro;;;hem;
Gad;roo;;;her;
Gaz;rou;;;hi;
Ge;ru;;;hi;
Gha;sa;;;hid;
Gha;sa;;;hid;
Gha;sa;;;hid;
Gha;sa;;;hij;
Gha;sa;;;him;
Gha;sai;;;him;
Ghan;sal;;;hir;
Ghar;sal;;;hor;
Ghat;se;;;huh;
Ghaz;se;;;i;
Ghu;se;;;i;
Gir;se;;;i;
Go;se;;;i;
Gu;se;;;ib;
Ha;sha;;;ib;
Ha;sha;;;id;
