syl1;syl2;syl3;syl4;syl5
A;ba;;;bad
A;la;;;dar
A;se;;;dim
A;shar;;;din
Ab;ta;;;dir
Ab;;;;dir
Ach;;;;dul
Ba;;;;fa
Bas;;;;far
Fa;;;;fiq
Fa;;;;hid
Fa;;;;him
Fa;;;;in
Fa;;;;keem
Fay;;;;kim
Ha;;;;kim
Ha;;;;lib
Ha;;;;lid
Ha;;;;lif
Hey;;;;lil
Hus;;;;lim
Ja;;;;mal
Ja;;;;mar
Ja;;;;med
Ja;;;;mi
Ka;;;;mid
Ka;;;;mir
Ka;;;;mir
Kha;;;;mir
Kha;;;;moud
Mah;;;;raf
Man;;;;ri
Mu;;;;rid
Mus;;;;rim
Na;;;;riq
Na;;;;rouk
O;;;;sam
Qa;;;;say
Qu;;;;shad
Ra;;;;shir
Ra;;;;sim
Ra;;;;sour
Ra;;;;uf
Sa;;;;yaad
Sa;;;;yez
Sa;;;;zid
Ta;;;;zil
Ta;;;;zim
Ta;;;;zim
Ya;;;;zim
