syl1;syl2;syl3;syl4;syl5
A;a;bo;;a
A;be;da;;ak
A;be;la;;ba
A;be;ma;;bi
A;bim;me;;chi
A;di;mi;;chi
A;dim;nan;;chi
A;du;o;;da
Bo;fe;ru;;de
Bo;fu;so;;de
Chi;fu;so;;de
Chi;ge;to;;de
Chi;go;;;di
Chi;ji;;;di
Chin;ji;;;di
Da;ji;;;do
E;ka;;;fa
E;ka;;;ge
E;ki;;;ka
E;ko;;;ka
E;kun;;;ka
Fu;la;;;ka
I;la;;;ko
I;la;;;la
I;lan;;;la
Kun;lu;;;la
Le;mi;;;le
Lu;mi;;;le
Mo;mo;;;li
Mo;mu;;;ma
N;nan;;;ma
N;ne;;;ma
N;ni;;;ma
N;ni;;;me
Na;nu;;;na
O;o;;;na
O;se;;;pe
O;se;;;ra
O;wan;;;re
On;ye;;;ro
Si;ye;;;si
Te;;;;tan
The;;;;to
Tit;;;;to
U;;;;ya
U;;;;ya
U;;;;yo
Yaa;;;;yo
Ye;;;;yo
Ye;;;;zi
