syl1;syl2;syl3;syl4;syl5
D;ba;ba;ma;a
Gu;ba;gi;zi;a
Ha;ba;gu;;ba
I;ba;hum;;be
Ka;ba;i;;be
Kho;be;ku;;be
Lu;bi;la;;bo
M;bi;mi;;bo
M;bu;mo;;da
M;bu;ni;;da
M;bun;ri;;da
M;cha;ri;;de
M;chu;run;;do
Ma;co;we;;do
Ma;cu;ya;;ga
Ma;da;ya;;ga
Ma;da;ze;;go
Ma;dan;;;go
Ma;dhlo;;;gu
Ma;di;;;ka
Ma;di;;;ka
Ma;di;;;keng
Ma;dlo;;;ko
Ma;don;;;ku
Ma;dwand;;;la
Ma;dzi;;;la
Ma;fo;;;la
Ma;go;;;la
Ma;gwa;;;la
Ma;id;;;li
Ma;ja;;;lu
Ma;khan;;;ma
Ma;khi;;;ma
Ma;ko;;;mau
Ma;ko;;;mo
Ma;kon;;;na
Ma;ku;;;na
Mah;la;;;ne
Mam;la;;;ne
Man;lan;;;ne
Man;le;;;ni
Man;lun;;;ni
Man;me;;;nu
Mand;pon;;;re
Mo;pun;;;re
Mo;ra;;;re
Mu;san;;;sa
Mun;se;;;shi
N;se;;;si
N;sen;;;so
N;sha;;;te
N;shiv;;;te
N;shu;;;tha
N;si;;;tu
N;son;;;vu
N;su;;;vu
N;ta;;;vu
N;to;;;we
N;tom;;;ya
N;tu;;;za
Ng;zi;;;za
T;;;;za
T;;;;za
Tsha;;;;ze
Zu;;;;zi
