syl1;syl2;syl3;syl4;syl5
A;an;bu;i;anh
A;be;de;ka;ba
A;be;la;man;ba
A;bhu;ma;;ba
A;bi;na;;be
A;bo;se;;bel
A;bu;tid;;bo
A;bu;;;chi
Ab;di;;;da
Ba;ga;;;da
Ba;ge;;;de
Boh;gi;;;di
Bon;ju;;;fo
Bu;ki;;;go
Bu;la;;;go
Cha;la;;;im
Chi;le;;;ka
Chi;ma;;;ka
Chi;ma;;;ka
Chi;man;;;ka
Da;me;;;ke
Du;mi;;;ki
Dwanh;mo;;;la
E;ni;;;la
Fo;ni;;;le
Ga;ny;;;li
Ge;pi;;;ma
Ge;po;;;mau
I;ra;;;mi
Ka;ra;;;mi
Ka;ra;;;ne
Kat;se;;;ni
Ma;so;;;ra
Ma;su;;;ra
N;ta;;;re
O;than;;;ri
O;tu;;;ri
Ol;wen;;;ro
Pa;zi;;;sa
Qi;zo;;;sa
Qu;zu;;;so
Sa;;;;ta
Sha;;;;to
Si;;;;wa
Ta;;;;ya
Tha;;;;yo
Them;;;;za
U;;;;zi
Zu;;;;zo
Zu;;;;zo
