syl1;syl2;syl3;syl4;syl5
A;a;a;;a
A;a;da;;adh
Ae;a;el;;all
Ae;an;li;;an
Ae;an;li;;ann
Ai;an;lyn;;bhe
Ai;an;vie;;bir
Ai;an;;;cha
Al;bi;;;cha
An;brai;;;da
Ang;ca;;;da
Ar;da;;;dain
Baer;de;;;de
Be;de;;;de
Be;de;;;der
Bir;di;;;der
Bran;do;;;dha
Bri;drai;;;dha
Bri;drai;;;dis
Ca;drai;;;dith
Ca;fe;;;dra
Cai;fer;;;dra
Cail;gan;;;dren
Ce;go;;;dys
Cell;grai;;;el
Cia;heu;;;ell
Cinn;ja;;;en
Cor;la;;;faer
Cor;la;;;fe
Cu;lin;;;gan
Cu;na;;;gan
Da;ne;;;gehe
Dae;ne;;;gin
Dai;nes;;;git
De;net;;;gla
Deir;ni;;;gwen
Di;no;;;ia
Diar;no;;;ia
Diarw;o;;;iahm
Do;o;;;iarw
Do;o;;;ib
E;rai;;;il
E;rai;;;jer
E;ree;;;ke
E;ree;;;la
Ear;ri;;;la
Ef;ri;;;la
Ef;ri;;;la
Ef;ri;;;la
Eil;rid;;;la
El;sel;;;lail
Es;sin;;;lais
Eth;so;;;le
Fae;sol;;;ley
Fi;ve;;;lia
Fiall;ve;;;lill
Fin;vi;;;lill
Fin;viyn;;;lin
Finn;vo;;;lin
Ge;wai;;;lin
Ge;we;;;linn
Ge;;;;lyn
Gen;;;;lyn
Gil;;;;lynn
Gil;;;;ma
Git;;;;mer
Gla;;;;na
Glen;;;;na
Gra;;;;na
Gwen;;;;na
Gwyn;;;;na
Gwyn;;;;na
He;;;;na
Hyl;;;;na
I;;;;na
I;;;;na
I;;;;na
I;;;;na
I;;;;na
Il;;;;na
Il;;;;na
In;;;;na
Io;;;;na
Jar;;;;na
Kee;;;;na
Kei;;;;na
Ken;;;;na
Ken;;;;na
Ker;;;;na
Klad;;;;na
La;;;;nai
La;;;;nai
Lail;;;;nat
Les;;;;ne
Li;;;;ne
Lin;;;;ne
Lle;;;;ne
Lle;;;;ne
Lyn;;;;ne
Lynn;;;;ne
Lyo;;;;ne
Ma;;;;ne
Ma;;;;ne
Ma;;;;ne
Mae;;;;ne
Maer;;;;ne
Mai;;;;ne
Mar;;;;ne
Mar;;;;nia
Mir;;;;nid
Mor;;;;nin
Mu;;;;nis
Na;;;;nod
Nae;;;;nu
Ne;;;;nu
Niamh;;;;omh
Nu;;;;ra
O;;;;ra
Oar;;;;ra
Ol;;;;rai
Pa;;;;re
Phe;;;;re
Prai;;;;rienh
Prai;;;;ris
Rah;;;;ris
Rai;;;;ry
Re;;;;rys
Ri;;;;sa
Ri;;;;se
Ri;;;;seult
Ro;;;;sha
Ro;;;;silt
Ron;;;;ta
Ron;;;;te
Ru;;;;tha
Ru;;;;the
Rua;;;;the
Saen;;;;tia
Sain;;;;tir
Scan;;;;ve
Sel;;;;ve
Seo;;;;vher
Shae;;;;vis
Sin;;;;wen
Sio;;;;wen
Swaf;;;;wen
Ti;;;;wen
Tra;;;;wen
Tsai;;;;wen
Tuadh;;;;wen
U;;;;wen
Ui;;;;wen
Ve;;;;wen
Vear;;;;wen
Wyn;;;;wen
Y;;;;wen
Y;;;;wen
Yan;;;;yn
Yn;;;;ynn
