syl1;syl2;syl3;syl4;syl5
A;a;an;;aic
A;ber;si;;an
Aen;cha;;;an
Al;cho;;;an
Ar;de;;;bair
Ben;di;;;bas
Bra;dro;;;dan
Bru;el;;;dan
Cael;la;;;dhir
Col;la;;;doch
Con;li;;;don
Cru;lo;;;druw
Cui;na;;;du
E;pa;;;dubh
Faic;ra;;;ent
Fen;ri;;;finn
Fi;ro;;;gan
Fin;ve;;;ghan
Ga;ven;;;gorn
Gae;wa;;;han
Gath;;;;in
Gor;;;;kill
Gwen;;;;len
Hel;;;;lich
Her;;;;ligh
In;;;;mad
Ke;;;;man
Ker;;;;man
Kurs;;;;mir
Llud;;;;mold
Ma;;;;nin
Ni;;;;nol
Nia;;;;phan
Ongs;;;;re
Quent;;;;ric
Sa;;;;ris
Sar;;;;ryn
Schla;;;;see
Ste;;;;tan
Ste;;;;ter
Ta;;;;wen
Via;;;;win
Wol;;;;wir
