syl1;syl2;syl3;syl4;syl5
A;a;;;ach
A;a;;;ach
A;ar;;;adh
Ae;cho;;;al
Ae;cri;;;all
Aelf;de;;;am
Ai;far;;;am
Ai;fer;;;an
An;fi;;;an
Ann;io;;;an
Ar;la;;;an
Ar;le;;;an
Bant;le;;;an
Bar;li;;;ann
Be;lie;;;ant
Be;na;;;bar
Bea;nei;;;bin
Bel;ni;;;braid
Benn;ni;;;cab
Bo;ra;;;can
Bra;ra;;;chaid
Bran;ran;;;chaid
Bran;re;;;chall
Bran;run;;;cus
Bre;wi;;;cy
Bren;;;;dach
Bri;;;;dan
Bri;;;;dan
Bry;;;;dan
Ca;;;;dan
Ca;;;;dar
Ca;;;;das
Cad;;;;den
Cal;;;;den
Ce;;;;den
Ced;;;;deon
Cet;;;;dhan
Ci;;;;din
Ci;;;;din
Co;;;;dis
Co;;;;doc
Con;;;;don
Con;;;;don
Con;;;;don
Con;;;;dred
Conn;;;;dri
Cor;;;;dric
Cu;;;;dris
Cu;;;;dwin
Cuil;;;;eigh
Cyn;;;;ein
Dae;;;;el
Dar;;;;en
De;;;;enn
Dhua;;;;er
Di;;;;et
Dil;;;;fraen
Do;;;;gal
Do;;;;gan
Du;;;;gar
E;;;;ghan
E;;;;ghan
Eal;;;;ghus
Ef;;;;ghus
Ef;;;;ghy
Ef;;;;gnos
Eff;;;;guin
Elf;;;;hoch
Eo;;;;il
Fae;;;;in
Faer;;;;inn
Falk;;;;ir
Fer;;;;kom
Fer;;;;lach
Fi;;;;lai
Fin;;;;lan
Finn;;;;lan
Gal;;;;le
Gal;;;;lir
Ghe;;;;mac
Gi;;;;mad
Gi;;;;mait
Gil;;;;man
Gla;;;;man
Glen;;;;mesh
Gun;;;;moch
Guy;;;;nach
Gwyn;;;;nall
Gwyn;;;;nalt
Hal;;;;nar
Har;;;;nay
Hjal;;;;ne
I;;;;ney
Ia;;;;nir
Il;;;;non
In;;;;nu
In;;;;odh
Io;;;;on
Ir;;;;on
Jae;;;;onn
Jen;;;;onn
Kar;;;;ran
Kay;;;;ran
Kel;;;;ras
Kuns;;;;rec
Lan;;;;rell
Lar;;;;ri
Leigh;;;;ri
Li;;;;ric
Li;;;;ric
Lidh;;;;ric
Lo;;;;ric
Lo;;;;ric
Lor;;;;rik
Mac;;;;rin
Me;;;;ris
Mel;;;;ris
Mo;;;;ryc
Mo;;;;ryn
Mor;;;;rynn
Mu;;;;sil
Ne;;;;sin
Ni;;;;sin
Nia;;;;thal
O;;;;them
Oi;;;;thur
Or;;;;u
Pe;;;;un
Pra;;;;val
Pry;;;;ven
Rai;;;;vey
Rea;;;;vien
Reo;;;;vin
Rhon;;;;vin
Rhys;;;;vyn
Ro;;;;vyn
Ron;;;;vyn
Ru;;;;waen
Se;;;;wain
Shien;;;;wain
Si;;;;wal
Sidh;;;;win
Ste;;;;win
Ta;;;;win
Tar;;;;win
Ti;;;;wir
Tier;;;;wyn
To;;;;wyn
Tra;;;;wyn
Tsa;;;;wyn
Tu;;;;wyn
Uach;;;;y
Ual;;;;ye
Y;;;;yn
Yann;;;;ys
Yur;;;;yun
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
