syl1;syl2;syl3;syl4;syl5
Ai;an;;;ai
An;;;;ang
Bao;;;;bei
Bei;;;;chang
Cai;;;;chen
Chang;;;;chou
Chen;;;;dan
Chou;;;;die
Chun;;;;fang
Dai;;;;fang
Dai;;;;fei
Die;;;;ge
E;;;;hong
Fen;;;;hua
Ge;;;;hua
Hong;;;;huan
Huan;;;;huang
Hui;;;;jia
Jia;;;;jiao
Jia;;;;jing
Jiao;;;;juan
Jin;;;;lan
Jing;;;;li
Lan;;;;li
Li;;;;li
Lin;;;;lin
Ling;;;;ling
Liu;;;;liu
Lu;;;;ming
Mei;;;;na
Ning;;;;ning
Qi;;;;qi
Qiao;;;;qiao
Rong;;;;rong
Shu;;;;shu
Shu;;;;song
Song;;;;ting
Ting;;;;wen
Wen;;;;xia
Xia;;;;xia
Xiao;;;;xue
Xiao;;;;ya
Xing;;;;yan
Xue;;;;ying
Ya;;;;ying
Yan;;;;yu
Ying;;;;yuan
Yuan;;;;yue
Yue;;;;yun
Yun;;;;zhai
