syl1;syl2;syl3;syl4;syl5
Bai;;;;bai
Cai;;;;cai
Cao;;;;cao
Chang;;;;chang
Chen;;;;chen
Cheng;;;;cheng
Cui;;;;cui
Dai;;;;dai
Deng;;;;deng
Ding;;;;di
Dong;;;;ding
Du;;;;dong
Duan;;;;du
Fan;;;;duan
Fang;;;;fan
Feng;;;;fang
Fu;;;;feng
Gao;;;;fu
Gong;;;;gao
Gu;;;;gong
Guo;;;;gu
Han;;;;guo
Hao;;;;han
Haung;;;;hao
He;;;;haung
Hong;;;;he
Hou;;;;hong
Hu;;;;hou
Jia;;;;hu
Jiang;;;;jia
Jin;;;;jiang
Kang;;;;jin
Ke;;;;kang
Kong;;;;ke
Lai;;;;kong
Laio;;;;lai
Lei;;;;laio
Li;;;;lei
Liang;;;;li
Lin;;;;liang
Liu;;;;lin
Long;;;;liu
Lu;;;;long
Luo;;;;lu
Ma;;;;luo
Mao;;;;ma
Meng;;;;mao
Mo;;;;meng
Ou;;;;mon
Pan;;;;ou
Peng;;;;pan
Qian;;;;peng
Qiao;;;;qian
Qin;;;;qiao
Qiu;;;;qin
Ren;;;;qiu
Shao;;;;ren
Shen;;;;shao
Shi;;;;shen
Song;;;;shi
Su;;;;song
Sun;;;;su
Tan;;;;tan
Tang;;;;tang
Tao;;;;tao
Tian;;;;tian
Wan;;;;wan
Wang;;;;wang
Wei;;;;wei
Wen;;;;wen
Wie;;;;wie
Wu;;;;wu
Xia;;;;xia
Xiang;;;;xiang
Xiao;;;;xiao
Xie;;;;xie
Xin;;;;xin
Xiong;;;;xiong
Xu;;;;xu
Xue;;;;xue
Yan;;;;yan
Yang;;;;yang
Yao;;;;yao
Ye;;;;ye
Yi;;;;yi
Yin;;;;yin
Yu;;;;yu
Yuan;;;;yuan
Zeng;;;;zeng
Zhan;;;;zhan
Zhao;;;;zhao
Zheng;;;;zheng
Zhong;;;;zhong
Zhou;;;;zhou
Zhu;;;;zhu
Zhuang;;;;zhuang
Zou;;;;zou
