syl1;syl2;syl3;syl4;syl5
A;be;ka;u;ai
A;be;mi;;at
A;bo;ne;;ba
A;fe;ne;;bet
A;fe;phe;;de
Ah;fer;ta;;deh
An;ha;ta;;dek
Ba;jem;ti;;e
Bet;ka;;;es
Bu;ke;;;fer
Ded;ma;;;fer
Djer;me;;;ger
Hat;me;;;hat
He;mu;;;hem
He;nad;;;het
Hen;ne;;;ia
I;ne;;;it
In;neb;;;ith
Ip;nek;;;ji
Jo;ren;;;ka
Kas;ri;;;kem
Ke;rit;;;khsa
Khe;rut;;;men
Ki;se;;;mes
Ma;se;;;mon
Mar;shep;;;mun
Me;ta;;;mut
Me;ta;;;mut
Me;te;;;mut
Me;tho;;;net
Me;ti;;;nu
Men;wan;;;nub
Men;we;;;puy
Mer;we;;;re
Mer;;;;re
Mu;;;;res
Ne;;;;rest
Ne;;;;ret
Ne;;;;ret
Ne;;;;ri
Ne;;;;ri
Ned;;;;rit
Nei;;;;rit
Nit;;;;ro
Nof;;;;ru
Nu;;;;sat
Pe;;;;set
Py;;;;set
Qal;;;;set
Que;;;;shet
Rai;;;;si
Red;;;;sut
Sa;;;;ta
Sa;;;;tah
Si;;;;tep
Sit;;;;tet
Ta;;;;tet
Ta;;;;ti
Tak;;;;wet
Tar;;;;ya
U;;;;ya
We;;;;yet
Ye;;;;yet
