syl1;syl2;syl3;syl4;syl5
A;ba;har;ta;baf
A;ba;he;;bek
A;be;ku;;bi
A;be;mi;;bib
A;bek;mon;;chet
Ah;bet;ne;;de
Ba;de;nem;;du
Bek;em;tut;;ek
Dje;gem;ve;;fra
Djer;ho;wa;;fre
Djo;ka;;;heb
Ha;kem;;;hem
He;kem;;;het
He;ket;;;hi
He;ku;;;hom
Ho;ma;;;ib
Hor;me;;;ja
Hu;met;;;jek
I;min;;;jen
I;mo;;;ka
I;mo;;;ka
I;na;;;ka
Im;ne;;;kem
Ir;ne;;;khaf
Ka;ne;;;khom
Ka;ne;;;khu
Ke;ne;;;ki
Ke;nef;;;mon
Ke;nus;;;mun
Kha;pu;;;nen
Kha;rem;;;ni
Khu;ren;;;ni
Me;sa;;;ni
Me;se;;;ni
Me;ser;;;nu
Me;ses;;;pen
Met;su;;;re
Ne;te;;;re
Ne;ti;;;re
Ne;wan;;;re
Ne;we;;;ret
Ne;wed;;;ro
Nes;;;;ry
Pa;;;;sa
Pa;;;;se
Pak;;;;se
Pet;;;;ser
Ra;;;;ser
Rud;;;;set
Sa;;;;sis
Se;;;;su
Se;;;;ta
Se;;;;tep
Se;;;;tep
Se;;;;thi
Seb;;;;tu
Sha;;;;tu
Shep;;;;wab
So;;;;wah
Tha;;;;wap
The;;;;wen
Ve;;;;ya
Ye;;;;yar
