syl1;syl2;syl3;syl4;syl5
A;a;a;det;a
A;bar;a;ri;a
A;bi;a;;a
A;cal;a;;a
A;che;a;;a
Aar;da;a;;a
Ail;da;a;;a
Al;da;bu;;a
Al;da;ga;;a
Al;da;gun;;a
Al;da;gun;;a
Al;de;gun;;a
Am;de;hol;;a
An;de;jas;;a
An;de;li;;a
An;de;li;;am
An;de;lun;;an
Ang;de;mu;;ann
Ar;di;nel;;ay
Ar;di;nel;;birg
Ar;di;ni;;birg
Ar;dil;ni;;bund
Ar;do;no;;ca
Arn;dra;ri;;da
Ba;dra;ri;;da
Ba;en;ri;;da
Ba;es;ri;;da
Bal;fir;si;;da
Bär;firn;;;da
Bär;fol;;;da
Bär;frie;;;da
Be;gar;;;da
Ber;gi;;;da
Beyl;gol;;;da
Bir;gol;;;da
Birk;gri;;;da
Bo;grim;;;da
Bolt;gun;;;da
Bor;gun;;;da
Bra;gun;;;da
Bran;gun;;;da
Ce;gun;;;da
Cel;gun;;;de
Cel;hil;;;de
Da;hil;;;de
Dan;hol;;;de
Der;hol;;;de
Do;hol;;;de
Do;hu;;;de
Do;ja;;;de
Dy;ja;;;de
Dyl;je;;;de
E;la;;;de
Elf;la;;;de
Elf;les;;;de
Elf;li;;;de
Elf;li;;;de
Ellm;li;;;de
Enn;li;;;de
Er;li;;;de
Erl;li;;;de
Fann;li;;;de
Far;li;;;de
Farl;li;;;de
Farn;li;;;de
Fe;li;;;de
Fe;lin;;;de
Feen;lin;;;de
Feen;lin;;;de
Fey;lin;;;de
Fi;lin;;;de
Fi;lin;;;de
Fi;lin;;;de
Fir;lin;;;de
Fir;lis;;;de
Frau;lis;;;de
Frei;lis;;;de
Freu;me;;;de
Froh;me;;;de
Fur;me;;;del
Gern;me;;;dis
Gers;mi;;;dra
Gi;mi;;;dra
Gi;mi;;;dra
Git;mi;;;dra
Go;mi;;;dra
Grim;mun;;;el
Gu;nel;;;enn
Gu;nel;;;frid
Gun;nel;;;ga
Gun;ni;;;ga
Gwyn;ni;;;ga
Ha;o;;;ga
Had;per;;;ga
Ham;per;;;ga
Ham;phi;;;ga
He;pun;;;gard
Helch;pur;;;gard
Helch;ra;;;gard
Henn;ral;;;gard
Herd;ral;;;gern
Hil;ran;;;gold
Hilm;re;;;grein
Hilm;re;;;grid
Hit;re;;;grin
Hold;ri;;;gund
I;ri;;;gund
I;ri;;;gund
I;ri;;;gund
I;ri;;;hild
I;ri;;;hild
I;ro;;;hild
Il;ro;;;hild
Il;ru;;;ja
Il;se;;;ja
Il;se;;;je
Ilf;sel;;;je
In;sel;;;ka
Ir;si;;;ka
Irl;si;;;ka
Ja;si;;;kra
Jad;si;;;la
Jan;si;;;la
Jet;sin;;;la
Jos;su;;;la
Jos;sun;;;la
Ka;tal;;;la
Kho;te;;;la
Ku;tes;;;la
Kun;tis;;;la
Kunn;trau;;;la
La;trau;;;la
Lan;trau;;;la
Lann;tru;;;la
Lar;tru;;;la
Le;tru;;;le
Le;twi;;;le
Lech;va;;;le
Lieb;ve;;;lieb
Lin;vi;;;lieb
Lo;vi;;;lind
Lo;vi;;;lind
Lod;vi;;;lind
Lu;vi;;;lind
Lu;wal;;;ma
Luit;wen;;;ma
Luit;wi;;;ma
Ma;wi;;;ma
Ma;wi;;;ma
Ma;wi;;;me
Maid;wid;;;me
Mar;wid;;;min
Mar;wie;;;mund
Mau;ze;;;na
May;zi;;;na
Mech;;;;na
Mech;;;;na
Mel;;;;na
Mi;;;;na
Mirn;;;;na
Mirn;;;;na
Mo;;;;na
Mo;;;;na
Myr;;;;na
Na;;;;na
Na;;;;na
Nal;;;;na
Nan;;;;na
Ne;;;;na
Nel;;;;na
Net;;;;na
Neun;;;;na
Ni;;;;na
Ni;;;;na
Nif;;;;na
Nur;;;;na
Ol;;;;na
Om;;;;na
Om;;;;na
On;;;;na
Pa;;;;nai
Pa;;;;nai
Pe;;;;ne
Pe;;;;ne
Per;;;;ne
Prai;;;;ne
Quel;;;;ne
Ra;;;;ne
Rah;;;;ne
Rah;;;;ne
Ran;;;;ne
Rau;;;;ne
Re;;;;ne
Rech;;;;ne
Rein;;;;ne
Rinn;;;;ne
Ro;;;;ne
Ro;;;;ne
Ron;;;;ne
Ron;;;;ne
Rond;;;;pha
Ru;;;;ra
Sal;;;;ra
Se;;;;ra
Se;;;;ra
Se;;;;ra
Sieg;;;;ra
Sil;;;;re
Sin;;;;re
Su;;;;sa
Su;;;;sa
Su;;;;sa
Sve;;;;sa
Tann;;;;sa
Tha;;;;sa
Tha;;;;sa
Thar;;;;scha
Tra;;;;scha
Tra;;;;sel
Tra;;;;ta
Tra;;;;ta
Trau;;;;ta
Traut;;;;ta
Tresh;;;;ta
Tsa;;;;ta
U;;;;ta
U;;;;ta
Ul;;;;te
Ull;;;;te
Ut;;;;te
Va;;;;te
Va;;;;te
Van;;;;te
Van;;;;te
Vi;;;;tel
Wa;;;;traut
Waid;;;;traut
Wal;;;;trud
Wal;;;;trut
Wal;;;;un
Wal;;;;unn
Wal;;;;va
Wald;;;;va
Wen;;;;ve
Wi;;;;wen
Wi;;;;wid
Wie;;;;wid
Yan;;;;wid
Yin;;;;wid
Yo;;;;ya
Zal;;;;ya
Zek;;;;ya
