syl1;syl2;syl3;syl4;syl5;prefix
Acker;anger;;;;von 
Adel;auen;;;;von und zu 
Alben;bach;;;;zu 
Alge;bacher;;;;
Alraun;bäcker;;;;
Alriks;bauer;;;;
Alt;baum;;;;
Angen;beerer;;;;
Angwarts;bender;;;;
Apfel;ber;;;;
Appel;berger;;;;
Auen;biegler;;;;
Auers;bier;;;;
Bach;binder;;;;
Bachen;binge;;;;
Bacher;bluth;;;;
Ballen;böckel;;;;
Bär;bold;;;;
Bardo;brander;;;;
Bären;brandt;;;;
Bart;brecht;;;;
Baume;brink;;;;
Baumel;brodt;;;;
Bein;brosch;;;;
Beutel;bruch;;;;
Biber;brück;;;;
Bien;buhler;;;;
Bienen;burg;;;;
Bier;burger;;;;
Bill;bürger;;;;
Bins;busch;;;;
Birgel;ckert;;;;
Birn;dank;;;;
Birsel;dengler;;;;
Blau;dorf;;;;
Blauen;dorn;;;;
Bleichen;dräu;;;;
Blum;eis;;;;
Blumer;eisen;;;;
Bock;er;;;;
Bork;falk;;;;
Borken;faust;;;;
Bös;feld;;;;
Bösen;felden;;;;
Böss;felder;;;;
Brach;fels;;;;
Brannt;feste;;;;
Brese;finck;;;;
Buchen;fold;;;;
Buth;folden;;;;
Butter;forst;;;;
Dallen;freund;;;;
Dan;furt;;;;
Degen;fuß;;;;
Dergel;gau;;;;
Diege;geb;;;;
Dinkel;geier;;;;
Donner;gruber;;;;
Dreu;grund;;;;
Dumpf;gut;;;;
Dunkel;haar;;;;
Eber;haber;;;;
Egel;hag;;;;
Eich;hagen;;;;
Eiche;hager;;;;
Eichen;hain;;;;
Ein;hammer;;;;
Eng;hardt;;;;
Erlen;hauer;;;;
Esch;haun;;;;
Fahren;haupt;;;;
Fälk;hauser;;;;
Falken;heider;;;;
Farn;hennen;;;;
Fass;herder;;;;
Faul;hilf;;;;
Fett;hof;;;;
Find;hoff;;;;
Finster;hold;;;;
Flöss;holm;;;;
Fran;holz;;;;
Frei;huber;;;;
Frost;hufer;;;;
Fuchs;ing;;;;
Funken;ingen;;;;
Garnel;inger;;;;
Glocken;klamm;;;;
Grauen;klos;;;;
Gringel;knecht;;;;
Grobb;knüpfer;;;;
Gut;korn;;;;
Hagen;leder;;;;
Halm;ler;;;;
Hammer;lin;;;;
Hang;macher;;;;
Harl;mann;;;;
Has;meister;;;;
Hasen;mund;;;;
Haubeil;ner;;;;
Heim;pfot;;;;
Heu;port;;;;
Hohen;quell;;;;
Holl;redner;;;;
Holler;rein;;;;
Holz;rich;;;;
Hügel;roth;;;;
Iben;sack;;;;
Immen;säckler;;;;
Kannen;saum;;;;
Kauz;schein;;;;
Kauzen;schlag;;;;
Kling;schläger;;;;
Klipp;schneider;;;;
Kol;schuh;;;;
Kolen;spitz;;;;
Kosch;stamm;;;;
Kron;statt;;;;
Krück;stein;;;;
Küfer;stieg;;;;
Kuh;strand;;;;
Lang;strunk;;;;
Lanzen;tal;;;;
Lauten;tanz;;;;
Leit;thal;;;;
Leuen;trutz;;;;
Lieb;wacht;;;;
Lieben;wald;;;;
Löwen;wang;;;;
Mark;wardt;;;;
Mohn;wart;;;;
Möhr;wasser;;;;
Moor;wein;;;;
Morgen;wirt;;;;
Mühlen;witz;;;;
Netz;zig;;;;
Nord;;;;;
Ochsen;;;;;
Olden;;;;;
Orken;;;;;
Ottern;;;;;
Pech;;;;;
Pfeifen;;;;;
Pflög;;;;;
Pichel;;;;;
Raben;;;;;
Rappen;;;;;
Rast;;;;;
Rauen;;;;;
Reben;;;;;
Rechen;;;;;
Reichen;;;;;
Rieden;;;;;
Riemen;;;;;
Rinds;;;;;
Roh;;;;;
Rot;;;;;
Roten;;;;;
Rüb;;;;;
Rüben;;;;;
Rüd;;;;;
Run;;;;;
Sack;;;;;
Sattel;;;;;
Sau;;;;;
Sauer;;;;;
Scheffel;;;;;
Schleh;;;;;
Schmiede;;;;;
Schnee;;;;;
Schön;;;;;
Schotter;;;;;
Schwein;;;;;
See;;;;;
Segen;;;;;
Sensen;;;;;
Sichel;;;;;
Sindel;;;;;
Stein;;;;;
Stipen;;;;;
Stipp;;;;;
Streit;;;;;
Strunken;;;;;
Stunken;;;;;
Süß;;;;;
Süßen;;;;;
Tann;;;;;
Tatzen;;;;;
Tauben;;;;;
Teichen;;;;;
Tiefen;;;;;
Topf;;;;;
Treu;;;;;
Ulmen;;;;;
Ur;;;;;
Wacker;;;;;
Wald;;;;;
Weißen;;;;;
Wengen;;;;;
Wester;;;;;
Zibbel;;;;;
Zitter;;;;;
Zorn;;;;;
Zwiebel;;;;;
Zwirn;;;;;
