syl1;syl2;syl3;syl4;syl5
A;bu;mis;;al
A;da;nis;;alk
A;de;ra;;alm
A;de;;;am
Ail;de;;;an
Ail;de;;;an
Al;de;;;an
Al;de;;;an
Al;de;;;ank
Am;de;;;ann
An;de;;;ann
An;de;;;ar
Ang;del;;;bald
Ang;del;;;bald
Ang;dil;;;bald
Ang;do;;;ban
Ans;dor;;;bart
Ans;dro;;;bart
Ar;du;;;bart
Ar;du;;;bel
Ar;du;;;ben
Ar;e;;;ber
Ar;fer;;;bert
Ar;ge;;;bert
Ar;ge;;;bert
Ar;gen;;;bert
Ar;gil;;;bo
Ar;go;;;bod
Ar;gos;;;bold
Arn;gu;;;bold
Ba;gu;;;bold
Ba;ku;;;bold
Bar;la;;;bold
Bar;lar;;;bolf
Bär;le;;;bor
Be;li;;;brandt
Be;lo;;;brecht
Be;me;;;brek
Bear;me;;;brom
Bel;mu;;;brom
Belch;mu;;;bros
Bern;ni;;;bur
Bern;ni;;;burt
Bern;o;;;cam
Beyl;o;;;cher
Bins;pa;;;dahl
Bla;ra;;;dahl
Bo;ra;;;dal
Bo;ri;;;dal
Bo;ri;;;dan
Bol;richs;;;dan
Borck;ro;;;dan
Bork;ru;;;dan
Bork;ru;;;dan
Bos;ru;;;dan
Bra;run;;;dar
Bram;se;;;dar
Brau;sel;;;del
Brin;sen;;;des
Brun;si;;;dil
Bun;sil;;;din
Cor;sind;;;din
Da;to;;;din
Dank;tu;;;dir
Dap;ve;;;dir
Dar;ze;;;do
Dar;zels;;;do
Dar;zi;;;do
De;;;;dor
De;;;;dor
Der;;;;dra
Det;;;;draus
Diet;;;;drich
Ding;;;;drich
Dol;;;;drik
Drach;;;;dril
Dreu;;;;dunk
E;;;;ein
E;;;;el
Eber;;;;el
Edel;;;;elch
Ef;;;;erk
Eg;;;;ert
Eich;;;;est
Eich;;;;fang
Eich;;;;fang
Eich;;;;fel
Em;;;;fert
En;;;;fin
Er;;;;fing
Er;;;;fir
Erl;;;;fold
Erl;;;;fold
Et;;;;fon
Eul;;;;fried
Fa;;;;fried
Fal;;;;fried
Fal;;;;fried
Falk;;;;gad
Fan;;;;gar
Feen;;;;gar
Feen;;;;gar
Fer;;;;ge
Ferk;;;;gert
Fey;;;;gil
Fi;;;;go
Fi;;;;gol
Fi;;;;gol
Fi;;;;gold
Fing;;;;gon
Firl;;;;gord
Firn;;;;gos
Firn;;;;gram
Fork;;;;gramm
Fring;;;;grein
Ga;;;;grimm
