syl1;syl2;syl3;syl4;syl5
A;ad;ad;a;a
Ael;ai;da;di;a
Ag;can;da;ka;a
Al;da;di;me;a
A;da;di;ni;a
Al;de;e;ni;a
Al;de;e;;a
Al;de;el;;a
An;dir;fa;;a
An;do;ge;;a
A;dri;ge;;a
A;dro;go;;a
A;e;i;;a
As;en;i;;a
Au;far;i;;a
A;fer;ka;;a
Be;fer;ly;;a
Bi;ga;ma;;a
Bo;ge;man;;a
Bo;ger;me;;be
Bra;ia;me;;be
Bra;ia;me;;che
Bra;ia;me;;da
Bran;io;mi;;des
Chlo;ja;ni;;des
Chry;ja;ni;;des
Chy;ja;ni;;dis
Ci;ja;ni;;dis
Clo;ka;ni;;dis
Daph;kas;ni;;dis
Des;kip;ni;;dra
Di;kir;ni;;dra
Do;kir;ni;;dra
Ef;kla;no;;dra
Ef;la;no;;dra
Ef;lad;o;;e
Ei;lai;o;;ia
E;lan;o;;io
Eu;las;on;;is
Eu;las;pei;;is
Eu;le;phe;;ka
Ga;le;pi;;ka
Ha;le;re;;ka
He;le;ry;;kaa
He;le;san;;ke
Her;lei;sin;;ke
Hip;lek;the;;ke
Ian;lek;thi;;ke
In;li;thy;;ke
In;li;;;ke
In;lin;;;ke
Io;lis;;;ke
Io;lo;;;ke
Io;lym;;;ke
I;lyp;;;ke
Is;ma;;;la
Is;me;;;la
Kal;me;;;le
Kal;me;;;le
Ka;me;;;le
Kar;me;;;lis
Kas;mi;;;lis
Kas;moi;;;me
Kir;ni;;;na
Kle;no;;;na
Klo;o;;;na
Kly;o;;;na
Ko;o;;;na
Ku;o;;;na
Ky;pe;;;na
Kyn;phi;;;na
La;po;;;na
La;po;;;na
Le;po;;;na
Le;po;;;ne
Li;po;;;ne
Liv;po;;;ne
Ly;ra;;;ne
Me;ra;;;ne
Me;ra;;;ne
Mel;rak;;;ne
Men;ras;;;ne
Mi;ri;;;ne
Myr;ri;;;ne
Nau;ri;;;ne
Nau;ri;;;ne
Ne;ri;;;ne
Ne;ri;;;ne
Ner;ro;;;nes
Ni;ro;;;os
Ni;sa;;;pe
O;san;;;pe
Ol;se;;;pe
Ou;se;;;pe
Pe;si;;;ra
Pe;si;;;ra
Pha;sio;;;ra
Phay;ta;;;ra
Phy;ta;;;ra
Phyl;ta;;;ra
Po;te;;;ris
Pra;thi;;;ros
Pra;ti;;;sis
Rah;ti;;;so
Rah;ti;;;te
Rah;tra;;;te
Ra;ve;;;te
Ron;vi;;;te
Sa;;;;te
Se;;;;tee
Se;;;;tes
Te;;;;tha
Tha;;;;the
Thei;;;;the
Tsa;;;;the
Tsa;;;;tho
Va;;;;to
Val;;;;to
Xe;;;;tos
Yp;;;;tra
Zoi;;;;ya
Zy;;;;ya
