syl1;syl2;syl3;syl4;syl5
A;dok;an;ni;as
A;gan;bu;thi;as
A;go;di;;as
Am;i;gi;;dis
An;ia;i;;dos
Ar;kann;i;;dros
Beu;kau;is;;dros
Bu;kla;kei;;is
By;la;li;;kis
Ca;le;li;;kis
Chy;le;li;;kis
Cos;leis;li;;kis
Da;li;ma;;kis
Da;lu;mais;;kos
Do;ly;ni;;kos
Do;ma;no;;kos
E;ma;o;;kos
Er;mach;pou;;lis
Ga;man;rei;;lis
Ga;me;ri;;los
Gau;mem;ry;;los
Gra;na;si;;los
Gry;ne;;;mos
Heth;nei;;;on
Ken;ni;;;os
Ko;o;;;os
Kyr;phe;;;os
Lai;phei;;;os
Lor;phi;;;os
Ly;ra;;;os
Ly;ral;;;os
Me;ran;;;os
Mem;rei;;;os
Moi;ri;;;os
My;ri;;;os
Nau;ri;;;os
Nes;ri;;;os
O;ri;;;os
O;ro;;;ra
Phy;ro;;;ren
Prai;ros;;;rys
Pyk;se;;;tas
Spha;ta;;;this
Sphy;tha;;;this
Styg;tha;;;this
Styr;tho;;;this
Tan;tho;;;this
Thor;thri;;;tis
Thy;to;;;tis
Ty;tri;;;tis
Ty;tu;;;tis
U;ty;;;tos
U;;;;tos
Xan;;;;tos
Y;;;;yin
Za;;;;yos
