syl1;syl2;syl3;syl4;syl5
A;a;an;la;as
A;an;dai;le;bos
A;an;di;lei;bos
A;cu;di;ni;chas
A;cu;do;ni;chus
A;da;do;ri;der
A;da;go;si;der
A;da;ka;the;des
A;dai;la;;des
A;dai;la;;des
Ae;day;le;;des
Ae;de;li;;des
Ai;di;ly;;des
Ai;do;ma;;dor
Al;dra;me;;dos
Al;dra;me;;dos
An;dras;me;;dros
Ar;dri;mi;;dros
Ba;dro;mi;;dros
Be;dro;na;;dros
Be;dy;ne;;gos
Bra;el;ni;;hon
Bra;fer;ni;;ias
Bron;fer;no;;ias
Cal;ge;ny;;ion
Cas;ia;pei;;kles
Chy;ia;phi;;kles
Da;io;pto;;kles
Da;je;rak;;kles
Da;jo;re;;kles
Dar;ka;re;;klos
Dei;ke;ri;;kos
Di;kea;ri;;kos
Dio;kean;rok;;kos
E;kei;ry;;las
E;kla;ry;;les
Ef;la;san;;les
Ef;la;si;;los
Ein;lan;thi;;los
En;lan;thi;;los
Eu;le;zei;;mos
Ga;le;;;mos
Glau;leis;;;mos
Gun;lek;;;mus
Gyl;ma;;;neb
Ha;ma;;;nes
Hal;ma;;;nis
Hal;ma;;;nos
He;me;;;nos
Hek;me;;;nos
Hip;me;;;nos
Ho;me;;;nos
Ia;mi;;;nos
Iac;mi;;;nos
Il;my;;;nos
In;na;;;on
Is;ne;;;on
Jar;ne;;;on
Ka;ne;;;on
Kad;ny;;;on
Kal;o;;;on
Kas;o;;;on
Ke;o;;;os
Ke;ok;;;os
Koi;pe;;;os
Krei;pha;;;os
Ky;phe;;;os
Ky;phy;;;os
Lai;pi;;;os
Le;po;;;os
Li;ra;;;os
Ly;rais;;;os
Ma;re;;;os
Me;re;;;os
Me;re;;;os
Me;rei;;;os
Men;rest;;;os
Mer;ri;;;os
Mi;ri;;;os
Mi;ri;;;os
Ne;ri;;;os
Ni;ri;;;os
Nu;ro;;;os
O;ry;;;os
O;ry;;;os
O;si;;;os
O;si;;;os
Or;sy;;;os
Pa;ta;;;os
Pal;ta;;;os
Pe;to;;;os
Pe;tro;;;os
Pel;va;;;phan
Per;ves;;;rad
Phi;vio;;;ras
Phoi;zi;;;rhos
Phri;;;;ros
Prai;;;;ros
Pri;;;;ros
Pros;;;;ros
Py;;;;ros
Pyr;;;;son
Ra;;;;son
Rag;;;;sos
Rah;;;;ter
Rah;;;;tes
Ran;;;;tes
Ron;;;;tes
Se;;;;tes
Si;;;;thos
Sto;;;;thos
Tha;;;;to
Thyn;;;;ton
Thyn;;;;tor
Ti;;;;tor
Ty;;;;tor
Tyn;;;;tos
U;;;;tos
U;;;;tos
Xan;;;;tos
Xe;;;;us
Xi;;;;us
Ya;;;;us
Ya;;;;xus
Ze;;;;yon
Zes;;;;zo
