syl1;syl2;syl3;syl4;syl5
A;cha;kan;;bha
A;da;;;bha
A;di;;;da
A;dra;;;dhur
Aish;ha;;;du
An;ja;;;ju
Ar;ki;;;la
Chan;li;;;la
Chan;ma;;;la
Che;ma;;;la
Dar;ma;;;la
De;ma;;;li
Dip;nan;;;ma
E;ni;;;ma
Gau;pa;;;ma
Gi;ra;;;na
In;sha;;;na
In;sho;;;na
Ja;ti;;;na
Ka;va;;;na
Ka;war;;;na
Ka;;;;na
Kal;;;;nal
Kan;;;;ni
Ki;;;;ni
La;;;;ra
Li;;;;ra
Ma;;;;ra
Man;;;;ri
Mee;;;;ro
Mo;;;;sha
Muk;;;;sha
Ni;;;;shi
Nit;;;;ta
Pad;;;;ta
Pra;;;;ta
Pri;;;;ta
Ra;;;;ta
Sa;;;;ta
Shak;;;;ta
Shan;;;;ta
Sho;;;;tan
Si;;;;ti
So;;;;ti
Su;;;;vi
Su;;;;ya
Ta;;;;ya
Val;;;;ya
Vi;;;;ya
Vi;;;;ya
