syl1;syl2;syl3;syl4;syl5
A;be;a;;a
A;bhar;bor;;a
A;bhu;da;;a
A;bre;da;;a
Ag;chu;da;;a
Ai;da;dhy;;a
Ba;da;hot;;a
Ba;da;kar;;a
Ba;da;ma;;ahl
Ba;dan;mul;;al
Ba;de;ni;;an
Ba;de;pa;;an
Bach;de;ra;;ang
Bah;del;ra;;ann
Bahl;del;ri;;ar
Baj;dha;ri;;ar
Bak;dha;ri;;ath
Bal;do;ri;;att
Bas;gi;sa;;ay
Bat;gi;sa;;ba
Bat;gra;sa;;bal
Bha;gu;shan;;ber
Bha;gup;si;;bhir
Bham;ha;ta;;bin
Bhan;han;wa;;bral
Bhard;hen;;;bri
Bhim;her;;;chan
Bhoi;ho;;;choo
Bin;hu;;;da
Bish;is;;;da
Bo;it;;;da
Brah;jhun;;;da
Brar;jo;;;dan
Bul;ju;;;dan
Cha;ke;;;dar
Cha;kra;;;dar
Cha;ku;;;dar
Chak;la;;;darsh
Chan;la;;;dev
Chat;la;;;dha
Chau;la;;;dhi
Chaw;li;;;dhok
Chhe;li;;;din
Chhib;lu;;;dit
Chit;ma;;;don
Chop;ma;;;dra
Cuk;mas;;;dra
Da;na;;;dru
Dang;na;;;du
Datt;nak;;;du
De;ne;;;dy
De;ner;;;eth
De;ni;;;eth
De;ni;;;gal
Dev;pa;;;gal
Dha;per;;;gan
Dhar;pha;;;gar
Dhin;ra;;;gar
Do;ra;;;gi
Dug;ra;;;gra
Fo;ran;;;gun
Ga;re;;;ha
Gai;ri;;;han
Gam;ro;;;han
Gan;ro;;;har
Gau;rot;;;hu
Gha;ru;;;id
Go;ru;;;ij
God;ru;;;ja
Gos;sa;;;ja
Gow;sa;;;ja
Gre;sa;;;jah
Guj;sa;;;jaj
Hak;si;;;jan
Har;so;;;jee
Hat;ta;;;jee
I;ta;;;jee
I;te;;;jha
Ja;ter;;;ji
Ja;tha;;;ka
Ja;thi;;;kak
Ja;ti;;;kam
Jam;to;;;kan
Jan;ur;;;kan
Jha;va;;;kar
Jhan;vi;;;kar
Jhun;wa;;;kar
Ka;wa;;;kar
Ka;wa;;;khar
Ka;wa;;;khi
Ka;wa;;;koo
Ka;wa;;;kral
Kach;wa;;;la
Kah;wa;;;la
Kai;ya;;;la
Kak;yas;;;la
Kak;yen;;;la
Kal;za;;;la
Kam;zi;;;la
Kan;;;;la
Kat;;;;lar
Kaw;;;;lau
Khan;;;;le
Khan;;;;le
Khat;;;;li
Kho;;;;li
Khos;;;;li
Khu;;;;lik
Khul;;;;lon
Kich;;;;lu
Kis;;;;ly
Koch;;;;ly
Koh;;;;ma
Kush;;;;ma
Lal;;;;mal
Lam;;;;mal
Lau;;;;mi
Lo;;;;min
Lu;;;;moo
Luth;;;;my
Ma;;;;na
Ma;;;;na
Ma;;;;na
Ma;;;;na
Ma;;;;ne
Ma;;;;ne
Ma;;;;ne
Ma;;;;ne
Ma;;;;ni
Ma;;;;ni
Ma;;;;ni
Ma;;;;ni
Ma;;;;ni
Mah;;;;ni
Mal;;;;ni
Mal;;;;ni
Mal;;;;ni
Man;;;;ni
Mann;;;;ni
Mat;;;;ni
Me;;;;ni
Meh;;;;ni
Meh;;;;nis
Mish;;;;not
Mo;;;;od
Mo;;;;ol
Mo;;;;on
Mon;;;;pad
Mot;;;;pal
Muk;;;;par
Mun;;;;poor
Na;;;;pre
Na;;;;ra
Na;;;;ra
Na;;;;ra
Nag;;;;ra
Nai;;;;ra
Nan;;;;ra
Nan;;;;ra
Nau;;;;ra
Ni;;;;ra
O;;;;ra
O;;;;ra
O;;;;ra
Pa;;;;ra
Pa;;;;ra
Pa;;;;raj
Pan;;;;ral
Pas;;;;ran
Per;;;;rar
Pi;;;;re
Pi;;;;re
Pir;;;;ri
Pod;;;;ri
Pra;;;;ri
Pru;;;;ri
Pu;;;;ri
Pu;;;;ri
Py;;;;ri
Ra;;;;roi
Ram;;;;roo
Ram;;;;ru
Rath;;;;ru
Raz;;;;ru
Sa;;;;sad
Sa;;;;sai
Sa;;;;sal
Sa;;;;san
Sa;;;;sar
Sa;;;;se
Sa;;;;se
Sach;;;;shi
Sah;;;;shi
Sai;;;;shi
San;;;;shi
Sand;;;;si
Sap;;;;si
Sar;;;;sin
Sar;;;;su
Sas;;;;ta
Se;;;;tak
Se;;;;tam
Seh;;;;tar
Sek;;;;te
Sem;;;;tha
Sen;;;;thal
Seth;;;;thi
Shak;;;;thi
Sham;;;;thu
Shar;;;;thy
Sheth;;;;ti
Shiv;;;;ti
Si;;;;to
Sik;;;;too
So;;;;tra
So;;;;tra
Sob;;;;try
Ta;;;;ty
Ta;;;;ty
Tal;;;;ul
Tan;;;;wa
Tha;;;;wa
Tha;;;;waj
Tha;;;;wal
Thak;;;;wal
Thi;;;;wal
Thu;;;;wal
Thus;;;;wal
Ti;;;;wal
Ti;;;;wal
Ti;;;;wal
Tre;;;;wal
U;;;;wal
U;;;;wal
U;;;;wal
Un;;;;wal
Up;;;;wan
Va;;;;wan
Va;;;;war
Va;;;;ya
Vas;;;;ya
Vij;;;;ya
Vir;;;;ya
Voh;;;;ya
Wa;;;;ya
Wa;;;;yal
Wa;;;;yal
Wa;;;;yal
Wadh;;;;yar
Wadh;;;;yar
Was;;;;yer
Zut;;;;zaz
