syl1;syl2;syl3;syl4;syl5
A;ha;ni;;and
A;ha;;;ash
A;ha;;;dan
A;ja;;;dar
A;man;;;dar
A;mo;;;dra
A;nan;;;dra
A;ra;;;dur
Ab;ren;;;ghu
Ah;san;;;har
Ba;shma;;;hay
Ba;;;;jay
Chan;;;;jay
Chand;;;;jay
Da;;;;jeet
Darh;;;;jit
Dev;;;;kant
Di;;;;kar
Di;;;;kar
Go;;;;kesh
Go;;;;khil
Ha;;;;kram
Har;;;;la
I;;;;mal
I;;;;mar
Jo;;;;mar
Kal;;;;mit
Ki;;;;na
Ku;;;;na
Lak;;;;nesh
Ma;;;;pak
Na;;;;pal
Na;;;;ran
Ni;;;;rav
Pra;;;;san
Prab;;;;san
Ra;;;;seem
Ra;;;;sha
Ra;;;;sha
Ran;;;;shal
Ri;;;;shi
San;;;;shok
Se;;;;su
Shan;;;;ta
Su;;;;tra
Vi;;;;veen
Vi;;;;vind
Vi;;;;vir
Vi;;;;yan
Yash;;;;yan
