syl1;syl2;syl3;syl4;syl5
A;de;;;cho
A;e;;;gi
A;ge;;;ju
A;i;;;ka
A;i;;;ka
A;i;;;ka
Bun;ka;;;ki
Chi;ke;;;ki
Chi;ki;;;ki
Chi;ki;;;ki
Cho;ma;;;ko
E;me;;;ko
E;mi;;;ko
E;mi;;;ko
E;mi;;;ko
Gi;no;;;ko
Ha;o;;;ko
Ha;ri;;;ko
Hi;ri;;;ko
Hi;ro;;;ko
Hi;ru;;;ko
Hi;sa;;;ko
Hi;sa;;;ko
Ho;sa;;;ko
I;shi;;;ko
Ka;so;;;ko
Ka;su;;;ko
Ki;su;;;ko
Ko;su;;;ko
Kyo;ta;;;ko
Ma;to;;;me
Ma;tsu;;;mi
Mi;yu;;;mi
Mi;zu;;;mi
Mi;zu;;;mi
Na;;;;mi
Nat;;;;mi
No;;;;na
Rei;;;;na
Ren;;;;ne
Sa;;;;rei
Shi;;;;ren
Shin;;;;ri
Su;;;;ri
To;;;;ri
Tsu;;;;ru
U;;;;shi
U;;;;ya
Ya;;;;yo
Yu;;;;yo
