syl1;syl2;syl3;syl4;syl5
A;ba;ga;;ai
A;ba;ga;;ba
A;chi;gu;;be
An;chi;gu;;be
Chi;e;ha;;be
En;e;ha;;be
Fu;e;ha;;chi
Fu;e;ji;;chi
Fu;ga;ka;;chi
Fu;ga;ka;;chi
Fu;ga;ka;;chi
Go;gi;mo;;da
Ha;gu;mo;;da
Ha;i;mo;;da
Ha;ji;mo;;da
Ha;ji;mo;;da
Ha;ji;mo;;da
Hi;ji;mu;;da
I;ju;mu;;da
I;ka;na;;da
I;ka;na;;da
I;ka;sa;;da
I;ka;sa;;da
I;ka;sa;;da
I;ka;shi;;da
I;ka;shi;;da
I;ka;shi;;da
Ka;ka;u;;do
Ka;ka;wa;;do
Ka;ka;wa;;do
Ki;ka;ya;;do
Ki;ka;ya;;e
Ki;ka;ya;;gi
Ko;ka;ya;;i
Ko;ke;ya;;i
Ko;ke;za;;i
Ko;ke;za;;i
Kon;ke;;;i
Ku;ko;;;i
Ma;ku;;;ka
Ma;ku;;;ka
Ma;ku;;;ki
Ma;ma;;;ki
Ma;ma;;;ki
Ma;ma;;;ki
Mi;ma;;;ki
Mi;ma;;;ki
Mi;ma;;;ki
Mi;ma;;;ki
Mo;ma;;;ki
Mo;mi;;;ko
Mu;mu;;;ma
Mu;mu;;;ma
Na;mu;;;ma
Na;na;;;ma
Na;ne;;;ma
Na;ni;;;ma
Na;no;;;ma
Na;nou;;;ma
Ni;o;;;ma
No;ra;;;mi
No;ra;;;no
O;ra;;;no
O;ra;;;no
O;ra;;;no
O;ri;;;no
O;ru;;;no
O;sa;;;no
O;se;;;no
O;shi;;;ra
Sa;shi;;;ra
Sa;shi;;;ra
Sa;shi;;;ra
Sa;shi;;;ra
Sa;shi;;;ra
Sa;su;;;ra
Sa;ta;;;ra
Shi;ta;;;ra
Shi;ta;;;ra
Shi;tsu;;;ra
Su;tsu;;;ri
Su;tsu;;;shi
Su;tsu;;;shi
Su;u;;;shi
Ta;wa;;;ta
Ta;wa;;;ta
Ta;ya;;;ta
Ta;ya;;;ta
Ta;ya;;;ta
Ta;ya;;;ta
Ta;ya;;;ta
Ta;ya;;;ta
Ta;zu;;;ta
Ta;;;;to
Ta;;;;to
U;;;;to
U;;;;to
U;;;;to
U;;;;to
Wa;;;;to
Wa;;;;to
Wa;;;;to
Wa;;;;to
Ya;;;;to
Ya;;;;to
Ya;;;;wa
Ya;;;;wa
Ya;;;;wa
Ya;;;;wa
Yo;;;;wa
Yo;;;;zu
