syl1;syl2;syl3;syl4;syl5
A;bo;a;;chi
A;da;hi;;ji
Dai;da;;;jun
Dai;de;;;ke
Dai;de;;;kei
Ei;ge;;;ken
Fu;ji;;;ki
Ha;ka;;;ki
Ha;ke;;;ki
Hi;ke;;;ko
Hi;ke;;;me
Hi;ki;;;mi
Hi;ki;;;mi
Hi;ko;;;mu
Hi;ku;;;mu
Hi;mi;;;o
I;mo;;;o
I;mo;;;o
Jun;o;;;o
Ka;o;;;o
Kat;ri;;;o
Kei;ro;;;o
Ken;sa;;;o
Ken;sa;;;o
Ken;sa;;;o
Ki;sa;;;o
Ma;sa;;;o
Ma;shi;;;o
Ma;su;;;o
Ma;su;;;ra
No;su;;;ro
No;ta;;;ru
O;to;;;ru
Ry;to;;;ru
Sa;tsu;;;ru
Sa;tsu;;;ru
Shi;;;;shi
Shin;;;;shi
So;;;;shi
Ta;;;;shi
Ta;;;;shi
Ta;;;;shi
Ta;;;;shin
Ta;;;;shin
Ta;;;;su
Ta;;;;ta
To;;;;ta
To;;;;to
Ya;;;;to
Yu;;;;tsu
