syl1;syl2;syl3;syl4;syl5
A;al;ca;coz;atl
A;ca;chi;hua;atl
As;cat;co;xo;ca
Atl;cat;e;xo;ca
Cen;chat;le;;catl
Chal;chi;liz;;catl
Chi;co;ma;;catl
Chi;da;mi;;catl
Ci;do;nal;;chitl
Cit;hua;oa;;chitl
Cit;hui;ro;;chitl
Co;hui;ti;;chitl
Cosz;ka;to;;co
Cui;la;xa;;cotl
E;la;xo;;cui
E;la;xo;;cui
Ez;lal;zi;;ha
Hiu;leu;;;hua
Hu;li;;;hua
I;lo;;;hua
I;lo;;;hual
I;lo;;;huatl
I;nex;;;huitl
I;ni;;;huitl
Ic;no;;;ia
Ich;pa;;;ka
Il;qui;;;ka
Ix;rel;;;kall
Ja;su;;;la
Lu;ta;;;li
Me;ta;;;li
Me;tar;;;li
Mez;te;;;lotl
Mi;tha;;;na
Mi;to;;;na
Miz;uh;;;na
Mo;uh;;;nal
Na;ui;;;netl
Na;xa;;;ni
Na;xa;;;nia
Ne;xo;;;pan
Ne;ya;;;pan
Ni;ya;;;pin
No;yo;;;ra
Noch;za;;;ra
Oh;za;;;ral
Pa;za;;;ru
Pa;zal;;;te
Pat;;;;thu
Pra;;;;tia
Quet;;;;tia
Sac;;;;tli
Sin;;;;tli
Te;;;;tli
Te;;;;tli
Te;;;;tli
Te;;;;tli
Te;;;;tli
Tei;;;;ton
Tla;;;;tu
Tla;;;;ual
Tla;;;;uitl
Tla;;;;uitl
Tlal;;;;xa
U;;;;xia
Vy;;;;yo
Xi;;;;yotl
Xi;;;;zel
Xi;;;;zin
Yo;;;;zin
Yo;;;;zin
Ze;;;;zin
