syl1;syl2;syl3;syl4;syl5
A;a;a;al;a
A;al;bo;al;a
Ach;auh;ca;chti;atl
At;ax;co;cuh;ba
Bal;ca;cu;lo;bor
Cat;ca;el;mi;ca
Chi;ca;hu;;catl
Chi;ca;hu;;co
Ci;cal;hu;;co
Co;cauh;i;;co
Co;cauh;i;;co
Cu;cel;ka;;da
Cu;che;la;;el
Cu;cu;li;;el
Cu;dum;li;;huatl
Cu;dum;pal;;huitl
E;e;pal;;huitl
E;et;pil;;huitl
Ha;etz;te;;ix
Ho;he;te;;jo
Hu;hi;ti;;ko
Huit;hu;ti;;kom
Ic;in;uh;;lal
Il;ixt;xi;;le
Itz;ka;;;li
Ixt;ko;;;li
Jo;la;;;li
Ka;la;;;li
Ka;la;;;li
Ma;la;;;li
Ma;lim;;;li
Ma;lin;;;li
Mat;ma;;;lin
Mat;mal;;;lo
Mat;mox;;;lo
Mer;moz;;;loc
Mi;na;;;mac
Mic;nau;;;metl
Mo;nex;;;moc
Na;no;;;na
Ne;o;;;ni
Ne;pac;;;noch
Ne;palt;;;nu
Ne;pil;;;och
No;pilt;;;otl
No;ra;;;pac
O;sa;;;pil
O;tal;;;ran
O;ti;;;ras
Ol;tlan;;;rax
Qu;xa;;;rax
Ra;xe;;;rax
Sar;ya;;;ro
Su;yu;;;ron
Ta;za;;;tic
Te;zi;;;tli
Te;zi;;;tli
Te;zoht;;;tli
Tez;zu;;;tli
Tla;;;;tli
Tla;;;;tli
Tla;;;;tli
Tla;;;;tli
Tla;;;;xo
Tla;;;;yotl
Utz;;;;yotl
Xa;;;;zatl
Xi;;;;zin
Ya;;;;zin
Zo;;;;zoh
