syl1;syl2;syl3;syl4;syl5
A;ba;a;ba;a
A;ba;ba;ba;a
A;ba;ba;no;a
A;ba;ba;;a
A;ba;ba;;a
A;bi;da;;a
A;bi;da;;a
A;bi;da;;a
A;bi;da;;a
A;bi;da;;a
A;bi;hi;;a
A;bis;la;;a
A;bri;la;;a
A;cha;li;;bah
A;cha;li;;ban
A;chal;mi;;ban
A;chi;mi;;ban
A;da;mya;;ban
A;da;ni;;ban
Ab;day;ni;;ban
Af;de;o;;ban
Ai;di;o;;beth
Ai;di;pa;;beth
Ai;di;pi;;beth
Ai;di;ra;;beth
Al;di;ra;;beth
Am;di;ra;;beth
Ar;di;sa;;beth
Ar;di;sad;;beth
As;di;san;;beth
As;di;schi;;beth
Ash;di;sha;;beth
Ay;di;si;;beth
Ay;di;ta;;beth
Ay;di;ya;;beth
Ay;di;yan;;beth
Ay;di;za;;beth
Ay;di;ze;;beth
Ba;dim;zi;;beth
Ba;do;zi;;bi
Bas;dray;;;bin
Bas;dri;;;bith
Be;fi;;;bith
Be;ha;;;bith
Be;ha;;;bith
Be;ha;;;bith
Be;ha;;;bith
Be;ha;;;bra
Bey;he;;;cha
Bi;hel;;;cha
Bir;hi;;;chel
Buh;hi;;;da
Bya;hi;;;da
Cha;hi;;;da
Cha;hi;;;da
Cha;hi;;;da
Cha;hi;;;da
Chal;hi;;;da
Chan;him;;;dan
Chan;i;;;de
Da;ja;;;dra
Da;ja;;;dra
Da;ja;;;em
Das;ja;;;fa
De;ja;;;fa
De;ja;;;fa
Dha;ji;;;fa
Di;ji;;;ha
Di;ju;;;ha
Dil;ju;;;ha
Dja;jun;;;han
Dja;kan;;;har
Djin;ki;;;har
Do;ku;;;hat
Dun;la;;;i
Dun;la;;;ja
E;la;;;ja
E;la;;;ja
E;la;;;ja
E;la;;;ja
E;la;;;ja
E;la;;;ja
E;la;;;ja
E;lah;;;ja
El;lai;;;ja
Er;lai;;;ja
Es;lal;;;ja
Ez;lash;;;ja
Fa;le;;;jah
Fa;lei;;;jah
Fa;lei;;;ka
Fa;lei;;;ka
Fa;li;;;ka
Fai;li;;;ka
Fay;li;;;ke
Fay;li;;;kha
Fe;li;;;la
Fe;li;;;la
Gha;li;;;la
Ghul;li;;;la
Gu;li;;;la
Ha;li;;;la
Ha;li;;;la
Ha;li;;;la
Ha;li;;;la
Ha;li;;;la
Ha;li;;;la
Ha;li;;;la
Ha;li;;;la
Han;lin;;;la
He;liss;;;la
Hen;lo;;;la
Hi;ma;;;la
Hil;ma;;;lah
I;ma;;;lah
I;ma;;;lam
I;ma;;;lee
I;ma;;;leh
I;mal;;;lis
I;man;;;lis
Iz;me;;;ma
Ja;me;;;ma
Ja;me;;;ma
Ja;mer;;;ma
Ja;mi;;;ma
Ja;mi;;;ma
Jeh;mi;;;ma
Ju;mi;;;ma
Ka;mi;;;ma
Kar;mi;;;ma
Ke;mi;;;mah
Ke;mi;;;maid
Kha;mi;;;me
Kha;mi;;;me
Kha;mi;;;me
Khe;mi;;;me
Khel;mi;;;me
Kho;mi;;;me
La;mil;;;me
La;mil;;;meth
La;mill;;;mi
Laa;mir;;;mid
Lai;myr;;;min
Lai;na;;;min
Lai;na;;;min
Lay;nah;;;min
Lei;nee;;;min
Leu;ni;;;min
Leu;ni;;;min
Ma;ni;;;min
Ma;nu;;;mis
Mah;nu;;;na
Mah;o;;;na
Man;ou;;;na
Man;pa;;;na
Man;phe;;;na
Mar;ra;;;na
Me;ra;;;na
Me;ra;;;na
Me;ra;;;na
Mee;ra;;;na
Mel;ra;;;na
Mil;rai;;;na
Mir;rai;;;na
Mir;rai;;;na
Moq;ran;;;na
Myg;ran;;;na
Na;re;;;na
Na;ri;;;nah
Na;ri;;;nah
Na;ri;;;nai
Na;ri;;;nai
Na;ri;;;nan
Na;ri;;;ne
Nah;ri;;;ne
Nai;ri;;;ne
Nas;ri;;;ne
Nay;ri;;;ne
Naz;ri;;;ne
Ne;ri;;;ne
Ne;ri;;;ne
Ne;rie;;;neh
Nes;ris;;;neh
Ni;rish;;;ni
Nis;ru;;;ni
Nur;ru;;;ni
O;ru;;;nild
Om;sa;;;nis
On;sa;;;ny
Oy;schan;;;que
Pal;schan;;;ra
Par;sha;;;ra
Par;shan;;;ra
Pe;shan;;;ra
Pe;shay;;;ra
Pe;shi;;;ra
Pe;shi;;;ra
Pe;shi;;;ra
Pe;shi;;;ra
Pe;shi;;;ra
Pe;shi;;;ra
Ra;shin;;;ra
Ra;shu;;;ra
Ra;si;;;ra
Ra;si;;;ra
Ra;si;;;ra
