syl1;syl2;syl3;syl4;syl5;prefix
A;ba;ba;ba;bab;al'
A;ba;ha;ga;bad;ak'
A;bah;kan;ta;bad;as'
A;bu;khun;;bad;el'
A;bu;la;;ban;
A;cha;la;;bar;
A;ga;ma;;bir;
A;ga;mi;;bra;
A;ha;ra;;bra;
Ad;ha;rad;;bris;
Ah;ha;ris;;cha;
Ah;ha;ru;;chal;
Ai;hi;sa;;chem;
Akh;ja;shin;;dar;
Al;ja;ti;;di;
Al;ja;;;di;
Al;ja;;;di;
Al;kha;;;did;
An;kra;;;gan;
Ank;kra;;;han;
Ba;la;;;han;
Ba;lah;;;her;
Ben;les;;;hra;
Bi;ma;;;jan;
Bu;ma;;;kand;
Cha;mi;;;kand;
Das;nis;;;kesh;
E;ra;;;kim;
E;ras;;;la;
El;re;;;la;
El;ri;;;la;
El;ru;;;la;
Fa;sa;;;lam;
Fa;sar;;;lan;
Fen;sha;;;lef;
Ha;shin;;;li;
Hai;si;;;lim;
If;si;;;mad;
Ja;sun;;;man;
Ka;ven;;;mar;
Kah;wal;;;mi;
Ke;ye;;;mi;
Ke;yus;;;mud;
Kha;zi;;;na;
Ki;zi;;;nah;
Lei;;;;neq;
Mi;;;;ni;
Na;;;;ni;
Na;;;;ni;
Na;;;;ni;
Na;;;;ni;
On;;;;nis;
Per;;;;ra;
Ra;;;;rad;
Rasch;;;;ram;
Re;;;;ran;
Ro;;;;ran;
Sa;;;;ras;
Sar;;;;rash;
Sar;;;;re;
Sha;;;;reth;
Sha;;;;riit;
Shah;;;;ris;
Sher;;;;sa;
Shi;;;;sam;
Su;;;;sam;
Sur;;;;shal;
Ta;;;;shar;
Te;;;;shem;
Te;;;;shid;
Tur;;;;shim;
Ve;;;;sim;
Ya;;;;tab;
Yak;;;;tul;
Yal;;;;ul;
Ye;;;;wall;
Yer;;;;wan;
Zah;;;;ya;
Zor;;;;yesh;
Zul;;;;zel;
Zul;;;;zir;
