syl1;syl2;syl3;syl4;syl5
A;am;da;;ad
A;ba;de;;ahd
A;ba;dri;;alf
A;bal;ha;;ba
A;cha;ja;;ba
A;cha;ka;;baal
A;da;las;;bad
A;da;ma;;bah
A;da;ma;;bal
A;du;nan;;bal
A;far;pa;;bal
A;fi;ri;;bal
A;fry;;;ban
A;gu;;;ban
A;ha;;;ban
A;ha;;;ban
A;ha;;;ban
A;ha;;;ban
A;ha;;;ban
A;hal;;;ban
A;hal;;;ban
A;han;;;ban
Ab;har;;;ban
Ab;he;;;ban
Ach;hi;;;ban
Ach;hi;;;ban
Ach;hi;;;ban
Ah;ja;;;bar
Ah;ja;;;bel
Ah;ja;;;bet
Ak;ja;;;bib
Al;ja;;;bil
Am;jar;;;bir
An;ka;;;bob
Ar;ka;;;bu
Ar;ka;;;bun
Ar;key;;;bur
As;kha;;;bur
As;kha;;;cham
As;khi;;;chan
As;ku;;;chan
As;la;;;chan
As;la;;;chan
Ay;la;;;chim
Ba;lek;;;da
Ba;ley;;;dai
Ba;li;;;dal
Ba;lim;;;dan
Ba;lim;;;dan
Bach;ma;;;dan
Bah;ma;;;dan
Bas;ma;;;def
Bas;ma;;;dhur
Be;ma;;;di
Bey;me;;;di
Bhar;me;;;di
Bhe;mi;;;dif
Cha;na;;;dil
Cha;na;;;dil
Cha;nay;;;dim
Cha;o;;;din
Cham;pa;;;din
Chas;ra;;;din
Che;ra;;;din
Che;ra;;;din
Da;ra;;;dir
Da;rai;;;dir
De;ran;;;dir
Dhu;ran;;;dir
Dil;ran;;;dir
Dja;red;;;dir
Dja;ri;;;djin
Djaf;ri;;;dor
Dje;ri;;;dor
Dju;ron;;;dul
Dol;ru;;;dul
Dscha;ru;;;dur
Dsche;sa;;;ef
Dsche;sa;;;ey
Du;sar;;;fa
Dun;schab;;;fa
E;sey;;;fan
El;sha;;;far
Er;sha;;;fat
Es;sha;;;fer
Fa;sha;;;fer
Fa;sha;;;fid
Fa;she;;;fik
Fa;shu;;;fir
Fa;sir;;;fis
Fa;su;;;gir
Fa;ta;;;hach
Fa;ta;;;hal
Fahd;ta;;;hal
Fai;tai;;;har
Far;to;;;hat
Fe;tra;;;hath
Fey;tra;;;helm
Gaf;wa;;;het
Gas;yan;;;hid
Ghu;za;;;hif
Ghul;zaf;;;hil
Gu;zaf;;;him
Gul;;;;hir
Ha;;;;hir
Ha;;;;hir
Ha;;;;hir
Ha;;;;hul
Ha;;;;huul
Ha;;;;id
Ha;;;;id
Ha;;;;if
Ha;;;;ik
Ha;;;;ikh
Ha;;;;il
Ha;;;;il
Ha;;;;il
Ha;;;;in
Ha;;;;in
Ha;;;;iz
Ha;;;;jad
Hab;;;;jad
Hah;;;;jar
Hai;;;;jar
Hai;;;;jid
Hai;;;;jin
Hai;;;;jit
Hai;;;;kann
Har;;;;kann
Has;;;;kann
Has;;;;khra
Hasch;;;;khra
Hi;;;;kih
Hra;;;;kim
Hus;;;;kim
I;;;;kir
I;;;;kol
Is;;;;kos
Is;;;;la
Is;;;;la
Ja;;;;la
Ja;;;;lab
Ja;;;;lak
Ja;;;;lal
Ja;;;;lam
Jach;;;;lam
Jas;;;;lam
Je;;;;lam
Jed;;;;lan
Jik;;;;lan
Jikh;;;;led
Ka;;;;led
Ka;;;;lef
Ka;;;;lef
Ka;;;;lekh
Ka;;;;lel
Ka;;;;lem
Ka;;;;lev
Kal;;;;li
Kar;;;;li
Kash;;;;li
Ke;;;;lid
Kha;;;;lif
Kha;;;;lif
Kha;;;;lik
Kha;;;;lil
Kha;;;;lim
Kha;;;;lim
Khab;;;;lo
Kho;;;;lon
Khun;;;;ma
Khus;;;;mad
Kor;;;;mal
La;;;;mal
Le;;;;mal
Leu;;;;man
Ma;;;;man
Ma;;;;man
Ma;;;;man
Ma;;;;man
Ma;;;;man
Mach;;;;man
Mah;;;;man
Mah;;;;man
Mah;;;;man
Man;;;;man
Mar;;;;man
Mar;;;;man
Mar;;;;mar
Me;;;;mar
Me;;;;mar
Mer;;;;mar
Mez;;;;mar
Mha;;;;mar
Mha;;;;mar
Mha;;;;mar
Mhar;;;;me
Mhuk;;;;med
Mo;;;;med
Mor;;;;meth
Mu;;;;mi
Mu;;;;mid
Mu;;;;mid
Mu;;;;mid
Mus;;;;mil
Mus;;;;mil
Na;;;;mir
Na;;;;mir
Na;;;;mir
Na;;;;mir
Na;;;;mir
Na;;;;miz
Nas;;;;mud
Ne;;;;mud
Ne;;;;mud
Ne;;;;mud
Ne;;;;mud
O;;;;na
O;;;;na
Om;;;;nach
Om;;;;nar
Pa;;;;ned
Pe;;;;niz
Per;;;;nor
Qas;;;;nu
Ra;;;;o
Ra;;;;o
Ra;;;;on
Ra;;;;oul
Ra;;;;ra
Ra;;;;rak
Ra;;;;ram
Ra;;;;ram
Ra;;;;ran
Ra;;;;ran
Ra;;;;ran
Ra;;;;ras
Ra;;;;rau
Ra;;;;reb
Ra;;;;rech
Ra;;;;ref
Ra;;;;ref
Rach;;;;rek
Rah;;;;rek
Ras;;;;resh
Ras;;;;ri
Rash;;;;rib
Rash;;;;rib
Re;;;;rid
Re;;;;rid
Rez;;;;rif
Rha;;;;rim
Rhu;;;;rim
Ri;;;;rim
Ro;;;;rim
Ru;;;;rim
Ru;;;;riq
Ru;;;;roz
Sa;;;;ruk
Sa;;;;run
Sa;;;;ruq
Sa;;;;ruq
Sa;;;;ryd
Sa;;;;sad
Sa;;;;saf
Sai;;;;sam
San;;;;sam
Sar;;;;sam
Se;;;;san
Se;;;;san
Se;;;;san
Se;;;;san
Se;;;;sar
Sey;;;;sha
Sha;;;;sha
Sha;;;;sha
Sha;;;;sham
Sha;;;;shan
Sha;;;;shar
Sha;;;;shar
Sha;;;;shev
Sha;;;;shev
Sha;;;;shid
Shah;;;;shied
Shan;;;;shim
Shan;;;;shim
She;;;;shin
She;;;;shir
She;;;;sib
Shir;;;;sid
Sin;;;;sim
Sul;;;;sim
Sul;;;;sim
Sul;;;;sir
Sul;;;;sir
Sur;;;;sir
Ta;;;;sir
Ta;;;;suf
Ta;;;;sul
Ta;;;;sur
Ta;;;;suul
Tha;;;;tan
To;;;;tan
Tu;;;;tar
Tu;;;;tar
Tu;;;;tev
Tu;;;;tif
U;;;;tih
Ukh;;;;tin
Um;;;;tir
Wa;;;;tir
Wad;;;;tul
Wulf;;;;ul
Ya;;;;vun
Ya;;;;wad
Ya;;;;wan
Ya;;;;wan
Yad;;;;wan
Yas;;;;war
Yas;;;;wok
Yas;;;;wud
Yel;;;;wud
Yer;;;;yad
Yor;;;;yesh
Yus;;;;za
Yus;;;;zal
Za;;;;zal
Za;;;;zan
Za;;;;zan
Za;;;;zef
Ze;;;;zek
Zel;;;;zhar
Zu;;;;zim
Zul;;;;zir
