syl1;syl2;syl3;syl4;syl5
A;a;a;;a
A;a;he;;a
A;ana;he;;a
A;ga;ka;;a
A;ha;la;;a
Ai;ha;la;;a
Ao;he;no;;a
E;hi;te;;ana
E;hu;we;;e
Fe;hu;;;ena
Fi;io;;;hi
Ha;ke;;;ho
Hi;la;;;ka
Hi;la;;;la
Hii;la;;;la
Hua;la;;;la
I;la;;;le
I;lan;;;le
I;le;;;lei
Io;li;;;li
Ka;lo;;;mea
Ka;lu;;;mia
Ka;lu;;;na
Ka;ma;;;na
Ka;mai;;;na
Ka;me;;;na
Kaa;na;;;na
Kai;na;;;na
Ko;ni;;;na
La;no;;;na
Li;nu;;;na
Mar;o;;;ni
Me;ri;;;ni
Mil;ro;;;ni
Mo;ta;;;ni
N;ti;;;ni
No;ti;;;ni
Pe;;;;ni
Sa;;;;ni
Sa;;;;ni
Ta;;;;ni
Ta;;;;nia
Ti;;;;ra
Ti;;;;ra
To;;;;sa
U;;;;si
U;;;;tai
Vai;;;;va
Wa;;;;va
Wai;;;;wa
