syl1;syl2;syl3;syl4;syl5
A;a;a;fa;a
A;a;a;ga;a
A;a;a;ha;a
A;a;a;hi;a
A;a;a;ka;a
A;a;a;ko;a
A;a;a;ko;a
A;a;a;la;a
A;a;a;li;a
Ao;al;a;ma;a
Au;ana;ai;ma;a
Bee;e;ai;nu;a
Ey;e;fe;to;a
Fa;ea;fu;tu;a
Fa;fa;ga;ua;ai
Fa;fa;ga;va;aka
Fa;fi;ha;va;ana
Fa;ga;ha;wi;ao
Fai;gi;hen;;ber
Fan;gi;hi;;christ
Fi;gu;ho;;dii
Fi;ha;ho;;e
Fo;ha;i;;ei
Fo;ha;ka;;ey
Fu;he;ka;;fa
Fu;he;ka;;fo
Fui;hei;ki;;foa
Gil;hi;ki;;fu
Ha;hi;ko;;fu
Ha;hi;ko;;ga
Ha;ho;ko;;ga
He;hu;la;;gai
Hin;in;la;;ge
Ho;ka;le;;ha
Hoa;ka;le;;ha
Hoo;ka;li;;hi
Hoo;ka;li;;hi
I;ka;lo;;ho
I;kau;lo;;i
I;ke;lo;;ka
I;kei;lo;;ka
Ka;ki;lo;;ka
Ka;kio;lo;;ka
Ka;ko;lo;;ka
Ka;ko;ma;;kai
Ka;ko;na;;kai
Ka;ku;ni;;kau
Ka;la;no;;ki
Ka;la;no;;ki
Ka;la;o;;la
Ka;la;o;;la
Ka;la;o;;la
Ka;la;o;;la
Ka;la;o;;la
Ka;la;pe;;la
Kai;la;pe;;la
Ke;le;pi;;le
Ke;le;po;;le
Ke;le;pu;;le
Ke;le;pu;;le
Ke;lo;ra;;lei
Ke;lo;tai;;lei
Ko;ma;tau;;lei
La;ma;to;;li
La;ma;to;;li
La;ma;tu;;lo
Lei;ma;tu;;lo
Lei;mo;u;;lo
Lo;moe;wai;;lo
Ma;na;;;lo
Ma;na;;;lo
Ma;ni;;;lu
Ma;ni;;;lu
Ma;ni;;;lu
Mi;nie;;;lu
Mo;no;;;lu
Mo;nu;;;ma
Mo;nu;;;ma
Na;nu;;;na
Na;o;;;na
O;o;;;na
O;oa;;;na
O;pas;;;na
Pa;pe;;;na
Pa;pe;;;na
Pae;pi;;;na
Pan;pi;;;na
Pan;pii;;;nau
Pe;po;;;ne
Pu;po;;;ne
Pun;pu;;;ni
Ran;pu;;;ni
Ri;pu;;;ni
Sa;ra;;;ni
Se;re;;;no
Seu;ri;;;no
Si;rii;;;no
So;sa;;;nu
Ta;si;;;nu
Ta;ta;;;nu
Ta;to;;;nu
Ta;toi;;;nui
Ta;tu;;;o
Tan;tu;;;o
Tau;tu;;;o
Tau;u;;;pa
Tau;un;;;pii
Te;vai;;;po
Te;ve;;;pou
Te;vi;;;pu
Te;;;;ra
Te;;;;ra
Te;;;;re
Te;;;;re
Te;;;;ro
Ti;;;;si
To;;;;ta
Too;;;;ta
Tu;;;;ta
Tu;;;;tai
Tu;;;;tan
Tua;;;;tau
Tui;;;;te
Tui;;;;ther
Tui;;;;too
Tui;;;;tu
U;;;;tu
Un;;;;tu
Va;;;;tu
Va;;;;tua
Va;;;;u
Vai;;;;ue
Vai;;;;va
Vai;;;;vi
Vi;;;;wai
Vu;;;;wai
We;;;;wo
Wi;;;;yong
