syl1;syl2;syl3;syl4;syl5
A;au;ha;;ea
A;ha;ha;;eo
A;ho;ta;;eu
A;ka;te;;fa
A;ki;we;;fef
A;la;;;fui
A;le;;;heo
Ai;ma;;;hu
Bu;na;;;ine
E;na;;;ka
Fef;ne;;;ka
Fui;ne;;;kai
Ha;ni;;;kai
Ha;no;;;ke
Haa;nu;;;ki
Hau;po;;;ki
He;pu;;;ki
Hi;pu;;;ki
Hia;ri;;;ko
Ho;sa;;;koa
Hoo;si;;;ku
Hu;;;;la
I;;;;la
I;;;;le
Ka;;;;le
Ka;;;;li
Ka;;;;lu
Ka;;;;lu
Ka;;;;mar
Kae;;;;na
Kai;;;;na
Kai;;;;nal
Koa;;;;ni
La;;;;ni
Ma;;;;no
Ma;;;;no
Ma;;;;no
Nui;;;;nu
Po;;;;nui
Po;;;;nui
Ru;;;;po
Ta;;;;ra
Tau;;;;rau
Tu;;;;roa
Tu;;;;ru
Tua;;;;ta
Ua;;;;tat
Waa;;;;ti
Wai;;;;tu
Za;;;;wa
