syl1;syl2;syl3;syl4;syl5
A;a;a;a;a
A;a;a;a;a
A;a;a;a;a
A;a;a;a;a
A;a;a;an;a
A;am;a;ci;a
A;an;a;di;a
A;bar;a;el;a
A;be;a;li;a
A;be;a;na;a
A;bel;a;ni;a
A;bel;a;ni;a
A;bet;a;o;a
A;bo;a;re;a
A;bo;a;ri;a
A;bro;a;si;a
A;bun;a;tel;a
A;ca;an;ti;a
A;ca;an;;a
A;ca;be;;a
A;ca;be;;a
A;ca;bel;;a
A;ca;bel;;a
Ae;cal;bi;;a
Ai;ce;ce;;a
Al;che;ce;;a
Al;ches;ci;;a
Al;ci;ci;;a
Al;ci;ci;;a
Al;ci;ci;;a
Al;ci;cor;;a
Al;co;cu;;a
Al;cor;dan;;a
An;cu;dan;;a
An;da;de;;a
An;da;de;;a
An;da;de;;a
Ar;da;der;;a
Ar;da;di;;a
Ar;da;di;;a
Ar;da;di;;a
Ar;da;di;;a
Ar;da;di;;a
Ar;da;di;;a
Ar;de;di;;a
As;de;di;;a
As;des;di;;a
Au;di;do;;a
Ba;di;do;;a
Ba;di;do;;a
Ba;di;do;;a
Ba;di;dri;;a
Be;do;du;;a
Be;do;e;;a
Bel;do;e;;a
Bel;do;e;;a
Bel;do;e;;a
Bel;do;en;;a
Beyl;dra;en;;a
Birk;dra;et;;a
Blan;dra;et;;a
Bo;dra;et;;a
Bo;dri;ga;;a
Bo;dri;gi;;a
Bo;du;gli;;a
Bo;du;i;;a
Bo;e;jas;;a
Bos;fa;la;;a
Bra;fan;la;;a
Bra;fe;lan;;a
Bran;fer;le;;a
Ca;fi;le;;a
Ca;fi;li;;a
Ca;fi;li;;a
Ca;fing;li;;a
Ca;gis;li;;a
Ca;go;li;;a
Cal;go;li;;a
Cal;gol;li;;a
Cald;gol;li;;a
Ce;gon;li;;a
Ce;gri;li;;a
Ce;grim;li;;a
Cel;gu;li;;a
Cer;gu;li;;a
Ces;ha;li;;a
Ces;ha;li;;a
Cha;hi;li;;a
Ci;hil;li;;a
Ci;hu;lin;;a
Cla;i;ma;;a
Clo;iad;man;;a
Co;io;man;;am
Con;io;man;;ast
Con;ja;me;;ba
Cor;ja;me;;ba
Cor;ja;me;;bis
Cor;ja;met;;bra
Cor;ja;mi;;ca
Cra;ja;mi;;ca
Cul;ja;mi;;ca
Cus;ja;mi;;ca
Cus;ja;na;;ca
Da;ja;na;;ca
Da;jas;na;;ca
Da;je;ne;;ca
Da;ji;ne;;ca
De;la;ne;;ca
De;la;nel;;ce
De;la;nel;;da
Des;la;nel;;da
Di;la;ni;;da
Do;la;ni;;da
Do;la;ni;;da
Do;la;ni;;da
Do;la;ni;;da
Dra;la;ni;;da
Du;la;ni;;da
Du;la;ni;;da
Dul;la;ni;;da
Dun;la;ni;;da
Dy;la;ni;;da
E;la;no;;da
E;lan;o;;da
E;le;o;;da
E;le;o;;da
E;le;o;;da
E;le;on;;da
E;le;on;;da
E;le;rah;;da
E;le;ral;;da
E;lem;ral;;da
E;len;ran;;da
E;ler;re;;da
Ef;les;re;;da
Ei;les;rel;;da
El;li;ren;;da
Er;li;ri;;da
Erl;li;ri;;da
Es;li;ri;;da
Es;li;ri;;da
Es;li;ri;;da
Es;li;ri;;da
Es;li;ri;;da
Es;li;ri;;de
Es;li;ri;;de
Es;li;ri;;de
Far;li;ri;;de
Fe;li;ri;;de
Fe;li;ri;;der
Fha;li;ri;;des
Fi;li;ri;;des
Fi;li;ri;;dil
Fi;li;ri;;dis
Fi;li;ri;;dra
Fi;li;sa;;dra
Fi;li;san;;dra
Fi;li;san;;dra
Fi;li;san;;dra
Fin;li;se;;dra
Flu;li;sel;;dra
Fol;lin;si;;dra
Fra;lin;si;;dra
Ga;lin;si;;dra
Ga;lip;si;;dra
Ga;lis;si;;dur
Ge;lis;si;;fa
Ge;lis;the;;for
Ger;lis;thi;;frid
Gha;lo;thi;;ga
Ghis;lo;ti;;ga
Gi;lo;ti;;ga
Git;lo;ti;;ga
Glo;lu;til;;ga
Go;ly;tra;;ga
Gon;ma;ve;;ga
Gor;ma;ve;;gar
Gu;ma;ve;;gard
Gyl;ma;ven;;gard
Gyl;ma;vi;;gum
Gyl;ma;yo;;hild
Ha;ma;za;;i
Ha;ma;zet;;i
Hal;ma;zi;;ia
Har;man;zi;;ja
He;mas;;;ja
He;me;;;ka
He;me;;;ke
He;me;;;kra
He;me;;;la
He;me;;;la
He;me;;;la
He;me;;;la
He;mel;;;la
He;mi;;;la
Hit;mi;;;la
Ho;mi;;;la
Ho;mi;;;la
Ho;mi;;;la
I;mi;;;la
I;mi;;;la
I;mi;;;la
I;mi;;;la
I;mi;;;la
I;mi;;;la
I;mi;;;la
I;mi;;;la
I;mi;;;la
I;min;;;la
I;min;;;la
Il;mo;;;la
Il;mo;;;la
Im;mo;;;la
In;mo;;;la
Is;mon;;;la
Iu;na;;;la
Ja;na;;;la
Ja;na;;;la
Jan;na;;;la
Je;na;;;la
Je;nan;;;la
Je;ne;;;la
Jes;ne;;;la
Jo;nel;;;la
Ju;nel;;;la
Ju;ni;;;la
Ka;ni;;;ma
Ka;ni;;;ma
Kho;ni;;;ma
Ko;ni;;;ma
Ko;ni;;;me
Kus;ni;;;mee
La;no;;;mel
La;no;;;min
La;nos;;;ming
La;o;;;mun
La;o;;;mund
Le;o;;;n
Le;o;;;na
Le;o;;;na
Le;o;;;na
Le;o;;;na
Lech;o;;;na
Li;o;;;na
Li;o;;;na
Lis;pa;;;na
Lo;pa;;;na
Lo;pe;;;na
Lo;phi;;;na
Lu;phi;;;na
Lu;phi;;;na
Lu;pi;;;na
Lu;po;;;na
Lu;po;;;na
Lu;que;;;na
Lu;qui;;;na
Luit;ra;;;na
Lys;ra;;;na
Ma;ra;;;na
Ma;ra;;;na
Ma;ra;;;na
Ma;ra;;;na
Mad;ra;;;na
Mar;ra;;;na
Mar;rai;;;na
Mar;ran;;;na
Mar;ran;;;na
Mar;ran;;;na
Mar;ran;;;na
Mar;ras;;;na
Me;re;;;na
Me;re;;;na
Me;re;;;na
Mel;re;;;na
Mem;rel;;;na
Mer;ri;;;na
Mi;ri;;;na
Mir;ri;;;na
Mir;ri;;;na
Mo;ri;;;na
Mo;ri;;;na
Mo;ri;;;na
My;ri;;;na
My;ri;;;na
Myr;ri;;;na
Nan;ri;;;na
Nan;ri;;;na
Nan;ri;;;na
Nant;ri;;;na
Ne;ri;;;na
Ne;ri;;;na
Nee;ri;;;na
Net;ri;;;na
Ni;ri;;;na
Ni;ri;;;na
Ni;ri;;;na
Ni;ri;;;na
Ni;ri;;;na
Ni;ri;;;na
Nis;ri;;;na
Nis;ri;;;na
No;ril;;;na
No;ris;;;na
Nur;ris;;;na
O;ris;;;na
O;ris;;;na
O;ro;;;na
O;ro;;;na
O;ro;;;na
O;ro;;;na
O;ro;;;ne
O;ro;;;ne
O;ron;;;ne
O;ron;;;ne
Oc;ru;;;ne
On;sa;;;ne
Pa;sa;;;ne
Pas;sa;;;ne
Pe;sa;;;ne
Pe;sa;;;ne
Pe;sa;;;ne
Pe;sa;;;ne
Per;sa;;;ne
Phe;san;;;ne
Phe;san;;;ne
Phe;san;;;ne
Phe;san;;;ne
Phran;se;;;ne
Phro;set;;;nes
Po;si;;;nes
Pra;si;;;nes
Pra;si;;;ni
Prai;si;;;nis
Pre;si;;;no
Pri;si;;;nor
Que;si;;;os
Que;sin;;;pa
Quel;sin;;;pa
Quin;sin;;;qua
Ra;sin;;;que
Ra;sin;;;ra
Ra;so;;;ra
Ra;su;;;ra
Ra;sun;;;ra
Ra;ta;;;ra
Ra;ta;;;ra
Ra;ta;;;ra
Rah;tal;;;ra
Rah;te;;;ra
Rah;te;;;ra
Rah;tel;;;ra
Rah;tes;;;ra
Rah;tha;;;ra
Rah;thra;;;ra
Ran;ti;;;ra
Ras;ti;;;ra
Re;ti;;;ra
Re;ti;;;ra
Rein;ti;;;ra
Rha;ti;;;ra
Ri;ti;;;ra
Ri;trel;;;ra
Ri;tu;;;ra
Ri;ty;;;ra
Ri;va;;;ra
Ro;va;;;ra
Ro;va;;;ra
Ro;va;;;ra
Ron;va;;;ra
Ron;va;;;ra
Ron;va;;;ra
Ron;va;;;ra
Ron;van;;;ra
Ron;var;;;ra
Sa;ve;;;ra
Sa;ve;;;ra
Sa;ve;;;ra
Sa;ve;;;ra
Sa;ve;;;ra
Sa;ve;;;ra
Sa;ven;;;ra
Sa;ves;;;ra
Sa;ves;;;ra
Sal;vet;;;re
Sal;vi;;;re
Salk;vi;;;re
San;vi;;;res
Se;vi;;;ris
Se;vi;;;ro
Se;vi;;;sa
Sep;vi;;;sa
Sha;vi;;;sa
Shink;vi;;;sa
Si;vi;;;sa
Si;vi;;;sa
Si;vi;;;sa
Sieg;vi;;;sa
Sil;vi;;;sa
Sil;vi;;;sa
So;vi;;;sa
Sol;vi;;;sa
Su;vil;;;sa
Sve;vin;;;sa
Sy;vis;;;sa
Syl;von;;;sa
Ta;wal;;;sa
Tal;wi;;;sa
Ter;wi;;;scha
Tha;xan;;;se
Tha;ya;;;sha
The;ya;;;shya
The;ya;;;siz
Thes;ya;;;son
Ti;ya;;;ta
Ti;za;;;ta
Til;za;;;ta
To;ze;;;ta
Tra;ze;;;ta
Tra;zi;;;ta
Tra;zi;;;ta
Tra;;;;ta
Tra;;;;ta
Tsa;;;;ta
Tsa;;;;ta
Tsa;;;;ta
Tsa;;;;ta
Tsai;;;;ta
U;;;;ta
U;;;;ta
U;;;;ta
U;;;;ta
U;;;;ta
U;;;;ta
U;;;;ta
U;;;;ta
Ul;;;;ta
Ur;;;;ta
Us;;;;tas
Va;;;;te
Va;;;;te
Va;;;;te
Va;;;;tel
Va;;;;tha
Va;;;;tha
Va;;;;tha
Va;;;;tha
Val;;;;the
Val;;;;the
Van;;;;the
Van;;;;ti
Van;;;;trix
Ve;;;;va
Vel;;;;va
Vi;;;;va
Vi;;;;vai
Vi;;;;van
Vi;;;;vis
Vi;;;;ya
Vi;;;;ya
Vi;;;;ya
Vin;;;;ya
Vir;;;;ya
Wal;;;;ya
Wi;;;;ya
Xa;;;;ya
Xan;;;;ya
Xi;;;;ya
Y;;;;ya
Ya;;;;ya
Ya;;;;ya
Ya;;;;ya
Yal;;;;ya
Ye;;;;ya
Ye;;;;ya
Ye;;;;ya
Ye;;;;ya
Yin;;;;ya
Yo;;;;ya
Yp;;;;ya
Za;;;;ya
Za;;;;ya
Za;;;;ya
Za;;;;ya
Zal;;;;ya
Zal;;;;ya
Zar;;;;yan
Zar;;;;za
Zar;;;;za
Ze;;;;za
Ze;;;;za
Ze;;;;za
Zer;;;;za
Zo;;;;za
Zy;;;;za
