syl1;syl2;syl3;syl4;syl5;prefix
A;a;a;a;a;di 
A;am;a;e;a;de 
A;ba;a;roz;a;da 
A;ba;ba;;a;del 
Ae;ba;ban;;a;de la 
Al;ba;be;;a;della 
Al;ba;bel;;a;le 
Al;ba;bo;;a;de los 
Al;ba;ca;;a;d'
Al;bal;ca;;a;la 
Al;be;can;;an;du 
Am;ber;can;;an;des 
An;bes;chi;;ba;
An;bi;ci;;bhor;
An;bi;co;;bon;
An;bo;da;;ca;
Ar;bu;de;;ca;
Ar;bu;di;;ca;
Ar;ca;di;;ca;
Ar;ca;di;;chas;
As;ca;di;;cum;
Ba;ca;do;;da;
Bal;ca;e;;da;
Bar;cag;e;;da;
Bar;cam;e;;da;
Bar;ci;fu;;da;
Be;co;ga;;da;
Be;co;ge;;dal;
Be;co;gon;;dan;
Be;cos;grei;;daz;
Be;da;gu;;de;
Be;da;la;;deen;
Bel;de;la;;dez;
Ber;de;la;;dez;
Bib;de;li;;di;
Bla;de;li;;di;
Bla;de;li;;di;
Bo;di;li;;do;
Bo;dil;li;;do;
Bo;do;lis;;do;
Bo;do;lo;;do;
Boc;do;ma;;dor;
Bos;dos;men;;dor;
Bos;dri;mi;;dor;
Bot;dro;min;;doz;
Bra;du;mu;;el;
Bra;du;na;;er;
Bro;e;na;;er;
Bron;e;ni;;er;
Buf;er;ni;;er;
Ca;eth;ni;;er;
Ca;fa;ni;;er;
Ca;fa;ni;;er;
Ca;fa;ni;;er;
Ca;fa;ni;;er;
Ca;fa;ni;;fan;
Ca;fan;no;;fo;
Ca;fan;o;;ga;
Cai;far;o;;gan;
Cal;fi;o;;gez;
Cas;fo;pa;;go;
Cas;fo;pen;;go;
Cas;fu;pi;;go;
Cas;ga;ra;;go;
Cas;ga;ra;;gon;
Ce;ga;ran;;gro;
Cer;ga;raz;;guez;
Cer;ga;ri;;guez;
Cha;gir;ri;;guez;
Co;go;ri;;hall;
Co;go;ri;;han;
Co;go;ri;;han;
Co;gri;ri;;han;
Con;guis;ri;;han;
Cor;ha;ro;;hir;
Cor;han;si;;ier;
Cor;han;si;;jar;
Cras;he;si;;ka;
Cus;la;si;;ker;
Da;la;so;;la;
Dar;la;ta;;la;
Dar;la;thi;;la;
De;la;ti;;la;
Des;la;ti;;la;
Do;la;ti;;la;
Do;la;ti;;lani;
Dol;la;to;;lant;
Dros;la;to;;lar;
Dru;la;va;;lar;
Dscha;laf;val;;le;
Du;lan;van;;les;
Du;lan;vi;;les;
E;lan;ye;;leth;
Es;lar;za;;li;
Es;le;za;;li;
Fal;le;;;li;
Fal;le;;;ling;
Far;le;;;lo;
Fe;let;;;lus;
Fi;li;;;mal;
Fi;li;;;mell;
Flo;li;;;mis;
Flu;li;;;mo;
Fo;li;;;na;
Fon;li;;;na;
Fon;lii;;;na;
Fon;lin;;;na;
For;ling;;;na;
Fos;lon;;;na;
Fur;lu;;;na;
Fur;lu;;;nald;
Ga;ma;;;nar;
Ga;man;;;nas;
Ga;mar;;;nas;
Ga;mar;;;ne;
Gab;me;;;ne;
Gal;mi;;;ner;
Gal;mi;;;ner;
Ghis;mi;;;ner;
Gi;mil;;;nes;
Go;min;;;nes;
Gol;mo;;;nez;
Gor;mo;;;nez;
Goz;mo;;;nez;
Gra;mon;;;nez;
Gra;mot;;;ni;
Gran;mu;;;ni;
Gran;na;;;ni;
Gre;ne;;;ni;
Gre;ne;;;ni;
Gri;ne;;;ni;
Hor;ne;;;ni;
Hor;nes;;;ni;
I;ni;;;ni;
Il;ni;;;ni;
Is;ni;;;ni;
ja;nis;;;ni;
Ka;nu;;;ni;
Ka;o;;;ni;
Kar;pa;;;ni;
Ko;pa;;;ni;
Ko;pal;;;ni;
Ku;pan;;;ni;
La;pe;;;no;
La;pe;;;no;
Lam;phi;;;no;
Las;pi;;;no;
Lip;pi;;;no;
Lo;pi;;;no;
Lor;po;;;no;
Lu;po;;;no;
Ma;po;;;no;
Ma;qui;;;no;
Ma;qui;;;no;
