syl1;syl2;syl3;syl4;syl5
A;a;a;a;al
A;a;a;a;al
A;ba;a;a;alk
A;ba;a;a;am
A;ba;a;e;an
A;bel;a;el;an
A;bel;a;ni;an
A;ber;a;o;an
A;bi;a;o;an
A;bi;a;ri;an
A;bi;a;ri;an
A;bi;a;ri;an
A;bi;al;ri;an
A;bo;ar;ri;an
A;bo;ci;ti;an
A;bri;ci;;an
A;bu;ci;;an
A;ca;ci;;an
A;ca;co;;an
A;ca;cu;;an
Al;ca;da;;an
Al;ca;de;;an
Al;ca;de;;an
Al;ca;de;;an
Al;car;de;;an
Al;ce;di;;an
Al;ce;di;;ar
Al;ci;di;;arn
Al;ci;di;;as
Al;ci;di;;bal
Al;ci;di;;bald
Al;ci;di;;bas
Al;ci;di;;ben
Al;ci;di;;bert
An;ci;di;;bo
An;ci;do;;bo
Ang;co;do;;bo
Ar;cu;er;;bod
Ar;da;fe;;born
Ar;da;gi;;born
Ar;da;gli;;brek
Ar;da;i;;burt
Ar;da;ki;;bus
Ar;da;la;;bus
Ar;da;la;;ca
Ar;da;le;;cal
Arn;de;le;;cam
As;de;len;;can
As;de;li;;cer
As;de;li;;cher
As;de;li;;co
Au;de;li;;co
Ba;de;li;;co
Ba;de;li;;co
Ba;de;li;;co
Bal;del;li;;co
Bal;di;li;;co
Bal;di;li;;co
Bar;di;li;;cus
Bar;do;li;;cus
Bar;do;li;;cus
Be;do;man;;cus
Be;do;me;;dahl
Be;do;mo;;dal
Be;do;na;;dan
Be;do;na;;dan
Bel;dol;nan;;dan
Bem;dol;nel;;dan
Ben;don;ni;;dan
Bep;dra;ni;;dan
Beyl;dra;ni;;dan
Bis;dra;ni;;dan
Bo;dres;ni;;dan
Bo;dri;ni;;dan
Bo;dri;ni;;dar
Bo;dri;ni;;dar
Bo;dri;ni;;dar
Bol;dro;ni;;de
Bon;dro;ni;;den
Bor;dro;ni;;der
Bos;du;ni;;der
Bra;du;ni;;des
Bra;du;ni;;din
Bra;en;ni;;din
Bra;en;ni;;din
Bra;far;nu;;dir
Bram;far;os;;dir
Bran;fer;pha;;do
Bri;fer;pi;;do
Bri;fi;pi;;do
Bu;fo;ra;;do
Bun;ga;ra;;do
Ca;ga;ra;;do
Ca;gan;ri;;do
Ca;ge;ri;;do
Ca;ge;ri;;do
Ca;ge;ri;;do
Cal;ge;ri;;do
Cal;gen;ri;;do
Cal;gi;ri;;do
Cal;gla;ri;;do
Cal;glo;ri;;do
Cal;go;ri;;do
Cam;go;ri;;do
Can;gran;ri;;do
Cas;gri;ri;;do
Cas;gus;ri;;do
Cas;ha;ri;;do
Cas;hi;ri;;do
Ce;hi;ri;;do
Ces;hi;ri;;dor
Chi;hu;ri;;dor
Ci;ia;ri;;dor
Co;io;ri;;dor
Cor;io;ri;;dor
Cor;ja;ri;;dor
Cor;ja;ri;;dor
Cor;ja;ri;;dor
Cri;ja;ri;;dor
Croe;ja;san;;dos
Cu;ji;san;;dos
Cu;ji;si;;dra
Cur;ku;ta;;dro
Da;la;thi;;dro
Da;la;ti;;dro
Da;la;ti;;dro
Da;la;vi;;dro
Da;la;vi;;dro
Dar;la;vi;;dron
Dar;la;vi;;dur
Dar;le;zi;;dur
De;le;;;dus
De;le;;;dus
De;les;;;el
De;li;;;er
Del;li;;;fan
Dett;li;;;fik
Dex;li;;;fim
Di;li;;;fo
Di;li;;;fo
Dia;lin;;;fold
Do;lin;;;fon
Do;lo;;;fus
Dor;lo;;;gad
Doz;lon;;;gan
Dra;lon;;;gar
Dru;lon;;;ge
E;lu;;;gil
E;ma;;;gin
E;ma;;;glan
E;ma;;;glas
E;ma;;;go
E;ma;;;go
E;ma;;;go
E;ma;;;go
E;ma;;;go
Ef;mal;;;go
Ef;mal;;;go
Ef;man;;;go
Eg;man;;;go
Eg;man;;;go
El;me;;;go
Em;me;;;go
Em;me;;;go
En;me;;;gol
Eo;mi;;;gon
Er;mi;;;gon
Er;mi;;;gon
Es;mi;;;gor
Es;mi;;;gos
Es;mi;;;grein
Es;mi;;;gund
Eu;mi;;;hard
Eu;mil;;;hardt
Ez;min;;;helm
Fa;mo;;;hir
Fa;mon;;;io
Fal;mu;;;io
Fal;mu;;;ios
Fal;na;;;iz
Falk;na;;;jed
Fan;na;;;jo
Far;na;;;jo
Fe;nan;;;joz
Fer;ne;;;kaan
Fes;net;;;kus
Fey;ni;;;lach
Fi;ni;;;lag
Fio;ni;;;lak
Fla;ni;;;lam
Flo;ni;;;lan
Flo;ni;;;lan
Flu;no;;;lan
Fol;o;;;lan
For;o;;;lan
Fran;o;;;lan
Frin;o;;;lan
Ga;o;;;lan
Ga;pa;;;lan
Ga;pe;;;le
Gaf;pe;;;lek
Gai;pe;;;lem
Gal;pe;;;len
Gal;per;;;len
Gal;phe;;;lid
Gar;pi;;;lio
Ge;pi;;;lo
Ge;po;;;lo
Ge;po;;;lo
Ge;pre;;;lo
Ger;que;;;lo
Gho;qui;;;lo
Ghon;qui;;;lo
Gi;qui;;;lo
Gil;ra;;;lo
Gis;ra;;;lo
Gla;ra;;;lo
Gla;ra;;;lo
Go;ra;;;lo
Gol;ra;;;lo
Gon;ra;;;lon
Gor;ra;;;lon
Gra;ra;;;lon
Gri;ra;;;lor
Grif;ra;;;lus
Gru;ra;;;lus
Gu;ra;;;lyn
Gual;ra;;;man
Gun;ras;;;man
Gyl;re;;;man
Ha;re;;;man
Ha;re;;;man
Ha;re;;;man
Had;re;;;man
Hal;re;;;man
Hal;re;;;man
Hal;ren;;;man
He;ren;;;mar
He;ren;;;mar
He;ren;;;min
He;res;;;min
He;ri;;;mir
Hel;ri;;;mir
Her;ri;;;mir
Hil;ri;;;mir
Hlo;ri;;;mis
Ho;ri;;;mo
Ho;ri;;;mo
Hy;ri;;;mo
I;ri;;;mo
I;ri;;;mo
I;ri;;;mo
I;ri;;;mo
I;ri;;;mo
