syl1;syl2;syl3;syl4;syl5
A;adh;da;;a
A;ax;hal;;bann
Ae;be;ka;;beth
Aelf;bur;lin;;beth
Ak;da;ne;;bjorg
Al;da;nia;;borg
Al;da;;;borg
Al;da;;;bra
Alf;da;;;britt
An;dhe;;;cha
An;dra;;;cha
An;dru;;;cha
An;fin;;;da
Ang;finn;;;da
Ar;fir;;;da
Arn;firns;;;da
Arn;fri;;;da
Arn;ga;;;da
As;gan;;;da
As;gan;;;da
As;gar;;;da
As;gar;;;da
As;ge;;;da
As;ge;;;da
As;ge;;;da
Au;ger;;;da
Aud;ger;;;da
Bas;ger;;;da
Be;gi;;;da
Be;gi;;;da
Be;gi;;;da
Berg;gjir;;;da
Birg;go;;;da
Bjar;gri;;;da
Björ;gri;;;da
Blo;gri;;;da
Blo;gri;;;da
Blod;grim;;;da
Blot;grun;;;da
Blots;hal;;;da
Bo;har;;;da
Borr;hel;;;dag
Bran;her;;;dar
Bren;hil;;;darr
Brid;hil;;;dath
Bro;ja;;;de
Bru;ja;;;de
Bry;ja;;;de
Bryn;jar;;;de
Cal;lan;;;dil
Cir;le;;;dir
Corr;li;;;dir
Da;li;;;dis
Dag;li;;;dis
Dair;li;;;dis
Dan;lin;;;dis
Drau;lin;;;dra
Du;lin;;;dra
Dun;lin;;;dra
Dun;ma;;;dra
Durr;ma;;;dra
Ee;men;;;dra
Ei;min;;;drha
Ei;mir;;;drid
Ein;na;;;drud
Eir;ni;;;drun
Eir;nil;;;dun
El;nir;;;dur
Eld;nu;;;fa
Erd;orn;;;fraid
Es;ra;;;frid
Ey;ra;;;ga
Fen;ra;;;ga
Fenn;rak;;;ga
Fi;ri;;;ga
Fjaell;ri;;;ga
Fre;rin;;;ga
Frei;ris;;;ga
Fren;ru;;;ga
Frid;run;;;ga
Frid;run;;;ga
Fro;ta;;;ga
Fru;tak;;;ga
Frun;thru;;;ga
Fu;tu;;;ga
Fyr;ver;;;ga
Ga;vi;;;gä
Gar;vir;;;gach
Gar;vu;;;gard
Gar;win;;;gard
Gel;ya;;;gard
Ghar;ya;;;gard
Gim;;;;gard
Gjay;;;;gard
Grain;;;;gard
Gri;;;;gard
Gri;;;;gard
Gri;;;;gard
Grim;;;;gard
Gu;;;;gard
Gun;;;;gat
Gun;;;;ger
Gun;;;;gerd
Gun;;;;gra
Gun;;;;gra
Gun;;;;graidh
Gunn;;;;grid
Hach;;;;grid
Hag;;;;grid
Half;;;;grid
Hall;;;;grid
Hals;;;;grid
Hards;;;;grid
Harr;;;;grim
Has;;;;gritt
Has;;;;grun
Hau;;;;hag
Hed;;;;held
Hel;;;;helt
Hel;;;;heyd
Hell;;;;hid
Her;;;;hild
Hil;;;;hild
Hil;;;;hild
Hil;;;;hild
Hil;;;;hild
Hilt;;;;hild
Hit;;;;hild
Hjal;;;;hild
Hjal;;;;hild
Hjal;;;;hild
Hjal;;;;hild
Hjal;;;;hild
Hjal;;;;hild
Hjal;;;;ja
Hjel;;;;ja
Hjo;;;;ja
Hjor;;;;ja
Hjurr;;;;ja
Hoel;;;;ja
Hraf;;;;ja
Hul;;;;ja
I;;;;ja
I;;;;ja
I;;;;ja
If;;;;ja
If;;;;ja
If;;;;ja
Ilk;;;;ja
Im;;;;ja
In;;;;ja
In;;;;ja
Io;;;;je
Ir;;;;ju
Ir;;;;ka
Irn;;;;ka
Is;;;;ka
Is;;;;ka
Is;;;;ka
Ja;;;;ka
Jäd;;;;ka
Jal;;;;ka
Jan;;;;ka
Jan;;;;ka
Jo;;;;ka
Jo;;;;ka
Jo;;;;ka
Ju;;;;ke
Jur;;;;kra
Ka;;;;la
Kar;;;;la
Kar;;;;la
Kat;;;;la
Katt;;;;la
Ke;;;;la
Keir;;;;laug
Ken;;;;laug
Kjas;;;;leyd
Kor;;;;li
Leiv;;;;lif
Let;;;;lif
Lia;;;;lin
Lif;;;;lind
Lin;;;;lind
Liv;;;;lind
Lot;;;;lind
Lur;;;;lind
