syl1;syl2;syl3;syl4;syl5
Al;bel;a;;a
Ask;brin;da;;a
Björn;bry;ga;;barn
Blod;bry;ga;;bur
Blod;bu;ga;;de
Blod;drick;ga;;der
Brän;dy;ga;;eld
Döds;fan;ga;;frost
Döds;fän;ga;;ga
Döds;fin;ga;;ga
Döds;fis;ka;;gat
Don;gel;ka;;ger
Dub;hjär;ka;;grimm
E;hjär;ö;;hämnd
Eld;jun;pa;;hand
Fjärr;käm;pa;;hand
Fjord;käm;ra;;har
Frost;ki;re;;jus
Frost;kla;ta;;kil
Frost;kling;ta;;krik
Frukts;kri;ta;;lös
Gnis;lä;ta;;mas
Gry;lö;ta;;pe
Grym;ma;ta;;pil
Guld;mä;ta;;pjut
Haj;mis;yx;;räv
Ham;nä;;;re
I;nars;;;re
I;nö;;;re
Is;ri;;;re
Is;ro;;;re
Is;ryt;;;re
Is;sa;;;re
Järn;skä;;;re
Klipp;sla;;;re
Klubb;sryt;;;re
Kräft;stens;;;re
Nio;su;;;re
Nordl;svin;;;re
Ork;tran;;;re
Päl;tun;;;re
Sjö;väk;;;re
Skum;;;;re
Snä;;;;re
Snös;;;;re
Storm;;;;re
Storm;;;;re
Storm;;;;re
Storms;;;;re
Tand;;;;ren
Vag;;;;sa
Vag;;;;sök
Val;;;;ta
Vild;;;;ta
Vind;;;;varg
Vinds;;;;ve
