syl1;syl2;syl3;syl4;syl5
A;ba;gi;;ac
A;ba;;;ach
A;bal;;;adh
Ag;ban;;;alf
Ag;be;;;all
An;bran;;;an
An;da;;;an
An;dadhs;;;and
An;do;;;andt
Ans;frunn;;;ant
Ar;gan;;;bak
Ar;gar;;;bald
Arn;gär;;;bar
Arn;ghi;;;bart
As;gi;;;ben
As;gi;;;beorn
As;gi;;;bert
As;gri;;;björg
As;gri;;;björn
As;gri;;;bold
As;gri;;;bold
As;grimm;;;born
At;grin;;;bran
At;klei;;;brand
Ba;ko;;;brand
Bal;la;;;brandt
Bal;lau;;;chad
Bar;mas;;;chan
Bar;nach;;;chas
Bar;ni;;;choi
Bas;ni;;;dan
Bear;no;;;dan
Beo;nul;;;dan
Beorn;o;;;dan
Bjar;ra;;;dar
Bjar;ri;;;dar
Bje;ris;;;dar
Bjor;ro;;;dar
Bjorg;ru;;;dar
Bjorn;run;;;dar
Blo;tul;;;dar
Blot;vin;;;de
Bod;;;;de
Brad;;;;der
Braigh;;;;di
Bran;;;;di
Bran;;;;di
Bran;;;;doch
Brand;;;;doch
Brandt;;;;doch
Breac;;;;doch
Brein;;;;doff
Bry;;;;dor
Bryn;;;;drad
Caer;;;;dred
Cain;;;;drin
Cal;;;;dru
Camm;;;;drur
Camm;;;;du
Cia;;;;du
Col;;;;duch
Col;;;;duch
Cor;;;;dur
Cuy;;;;dur
Da;;;;dur
Däb;;;;dur
Dar;;;;dur
Darn;;;;dur
De;;;;dur
Der;;;;dur
Don;;;;eif
Don;;;;ein
Dost;;;;eir
Dru;;;;elm
Dun;;;;en
E;;;;en
E;;;;errn
Ei;;;;far
Ei;;;;far
Ein;;;;fen
Eld;;;;fin
En;;;;foch
Er;;;;fried
Et;;;;fried
Faen;;;;fur
Fell;;;;fynh
Fen;;;;gal
Fi;;;;gald
Firn;;;;gant
Fis;;;;gar
Fjall;;;;gar
Fjol;;;;gar
Fjonn;;;;gar
Fogg;;;;gard
Folk;;;;gard
Fren;;;;gart
Frie;;;;ge
Frie;;;;ged
Fried;;;;gen
Frit;;;;ger
Fro;;;;ger
Fro;;;;gi
Fru;;;;gi
Frun;;;;gil
Frun;;;;gir
Fruu;;;;gold
Ga;;;;gold
Ga;;;;gold
Ga;;;;gold
Ga;;;;grim
Ged;;;;grim
Geir;;;;grim
Ger;;;;grim
Ger;;;;grim
Ger;;;;grimm
Gjal;;;;grimm
Greim;;;;grimm
Grimm;;;;grimm
Gun;;;;grimm
Gunn;;;;grimm
Ha;;;;grud
Ha;;;;gu
Hag;;;;gun
Hal;;;;gur
Hal;;;;gur
Hal;;;;gurd
Hal;;;;if
Half;;;;ja
Han;;;;jar
Hän;;;;jar
Har;;;;jart
Har;;;;jef
Hard;;;;jeff
Hars;;;;jew
Has;;;;jew
Hav;;;;jew
Heff;;;;jew
Hei;;;;jo
Hel;;;;jof
Hel;;;;jok
Hem;;;;jok
Her;;;;jost
Her;;;;kad
Herf;;;;kar
Herrn;;;;kar
Hja;;;;kar
Hjal;;;;ke
Hjal;;;;ke
Hjall;;;;ki
Hjall;;;;ki
Hjall;;;;kil
Hjant;;;;kir
