syl1;syl2;syl3;syl4;syl5
A;ba;la;ri;bra
A;ban;la;si;bra
A;be;la;;ca
A;bin;mi;;da
A;bor;mi;;da
Ag;bus;ni;;da
Ai;da;pi;;da
Al;da;ri;;de
Arg;de;ri;;dja
Ba;di;scha;;dra
Baern;din;sin;;dra
Ban;do;sla;;dra
Be;don;sla;;dra
Ber;fi;sla;;ga
Bes;firn;sla;;ga
Bi;ga;sla;;gat
Bi;ga;sla;;ge
Bil;gi;ta;;gris
Bir;gos;te;;ia
Bis;gri;;;ia
Bo;gri;;;ia
Bo;hin;;;ia
Bog;ja;;;ja
Bog;ja;;;ja
Chre;ja;;;ja
Chren;ja;;;ja
Da;ja;;;ja
Da;je;;;ja
Da;je;;;ja
Da;je;;;ja
Dal;je;;;ja
Dan;je;;;ja
Dar;je;;;ja
Dar;je;;;ja
De;jel;;;ja
Der;jen;;;ja
Dir;ka;;;ja
Dor;ka;;;ja
Dra;kesh;;;ja
Du;kil;;;ja
Dun;kul;;;ja
Dun;la;;;ja
Dur;la;;;ja
E;le;;;ja
E;le;;;ja
E;le;;;ja
E;len;;;ja
Ef;les;;;ja
Ei;li;;;ja
El;li;;;ja
Elk;li;;;ja
Elk;lin;;;ja
Elm;lin;;;ja
Fa;lin;;;ja
Fa;lit;;;ja
Fai;lo;;;ja
Fan;me;;;ja
Fe;men;;;ja
Fel;mi;;;ja
Fi;min;;;ja
Fin;min;;;ja
Frank;min;;;ja
Frin;min;;;ja
Ga;min;;;ja
Ga;mis;;;ja
Gan;na;;;ja
Geert;nas;;;ja
Ger;ne;;;ja
Gir;ni;;;ja
Grim;ni;;;ja
Grit;ni;;;ja
Gud;ni;;;ja
Gul;ni;;;ja
Ha;ni;;;ja
Ha;ni;;;ja
Ha;ra;;;ja
He;raen;;;ja
He;ran;;;ja
Hed;re;;;ja
Hel;ri;;;ja
Helv;ri;;;ja
Hir;ri;;;ja
Huld;ri;;;ja
Hur;ri;;;ja
Hurt;ril;;;ja
I;rin;;;ja
I;rin;;;ja
I;rin;;;ja
I;rin;;;ja
I;ris;;;ja
I;risch;;;ja
Ilm;riss;;;je
Im;ro;;;je
Im;ro;;;je
Is;ro;;;ka
Is;ro;;;ka
Ja;run;;;ka
Ja;san;;;ka
Ja;scha;;;ka
Jad;scha;;;ka
Jal;scha;;;ka
Jan;schen;;;ka
Jan;schin;;;ka
Jas;schin;;;ka
Jass;se;;;ka
Jau;shan;;;ka
Je;si;;;ka
Jed;si;;;ka
Jel;si;;;ka
Ju;si;;;ka
Ju;si;;;ka
Ka;sin;;;ka
Ka;sin;;;ka
Ka;ta;;;ka
Ka;ta;;;ka
Kat;tan;;;ka
Kat;tan;;;ka
Ker;te;;;ka
Ki;te;;;ka
Ko;tin;;;ka
Kol;tin;;;ka
Kre;tin;;;ka
Kun;tin;;;ka
Kur;tiss;;;ka
Le;vi;;;ka
Le;vit;;;ka
Leu;we;;;ke
Li;wi;;;ke
Li;wi;;;ke
Lor;wi;;;ke
Lu;win;;;ke
Lys;win;;;ken
Lyud;win;;;kis
Ma;win;;;kis
Ma;win;;;kosh
Ma;xa;;;kra
Ma;ya;;;la
Mag;zhe;;;la
Mar;;;;la
Me;;;;la
Me;;;;la
Mi;;;;la
Mi;;;;le
Mi;;;;lin
Mi;;;;na
Mi;;;;na
Min;;;;na
Mo;;;;na
Mo;;;;na
Mo;;;;na
Mo;;;;na
Mur;;;;na
Na;;;;na
Nad;;;;na
Nad;;;;na
Nes;;;;na
Ni;;;;na
Nu;;;;na
Nun;;;;na
O;;;;na
O;;;;na
Ol;;;;na
Ol;;;;na
Ol;;;;na
Ol;;;;na
Ot;;;;na
Paa;;;;na
Paw;;;;na
Pe;;;;ne
Pe;;;;ne
Pi;;;;ne
Po;;;;ne
Po;;;;ne
Ra;;;;ne
Ra;;;;ne
Ra;;;;ra
Ra;;;;ra
Ra;;;;ra
Ra;;;;ra
Rai;;;;ra
Rass;;;;ri
Res;;;;ria
Ri;;;;ria
Ri;;;;ris
Ri;;;;sa
Ro;;;;sa
Ro;;;;sa
Ru;;;;sa
Rud;;;;sa
San;;;;sa
Sel;;;;sa
Sew;;;;scha
Sla;;;;scha
Slan;;;;scha
So;;;;scha
So;;;;scha
Sta;;;;scha
Sul;;;;scha
Svet;;;;scha
Tal;;;;scha
Tat;;;;scha
Tat;;;;scha
Ter;;;;scha
Tes;;;;scha
The;;;;scha
Thes;;;;scha
Thi;;;;scha
Ti;;;;scha
Ti;;;;scha
Tjei;;;;scha
To;;;;scha
Trav;;;;scha
Tu;;;;scha
Tur;;;;scha
U;;;;scha
Ulm;;;;scha
Up;;;;scha
Ur;;;;scha
Van;;;;ta
Ve;;;;ta
Ve;;;;ta
Ve;;;;te
Ves;;;;ten
Ves;;;;tha
Vla;;;;tris
War;;;;va
Win;;;;va
Wla;;;;va
Wolp;;;;va
Wulf;;;;va
Xin;;;;va
Ya;;;;va
Ya;;;;va
Yad;;;;va
Ye;;;;va
Yil;;;;ya
Za;;;;ya
Zar;;;;ya
Ze;;;;ya
Zi;;;;ya
Zo;;;;ya
