syl1;syl2;syl3;syl4;syl5
A;bel;je;;brandt
A;ben;le;;deff
A;ber;lo;;der
A;ber;ma;;din
Al;bra;ni;;dis
Al;brin;ra;;ej
Ar;de;ta;;er
Ar;den;;;gil
Ba;der;;;gil
Baer;der;;;gin
Baer;der;;;gosch
Bar;ders;;;ing
Bar;drag;;;ing
Bi;en;;;jeff
Bol;ga;;;jeff
Born;ga;;;jeff
Brinns;ga;;;jeff
Bu;gel;;;jeff
Bur;gi;;;jeff
Chad;gi;;;jeff
Chop;gi;;;jeff
Da;gi;;;jeff
Da;go;;;jeff
Da;gol;;;jeff
Dal;gol;;;jeff
Dap;gol;;;jeff
Dim;gol;;;jeff
Do;gra;;;jeff
Do;grag;;;jeff
Don;gu;;;jeff
Drul;ja;;;jeff
Du;ja;;;jeff
Dub;je;;;jeff
E;je;;;jeff
E;je;;;jeff
E;je;;;jeff
E;jen;;;jeff
Eel;ji;;;jen
El;ka;;;jen
Elms;ka;;;jes
Er;ka;;;jes
Eu;ke;;;jes
Fag;ken;;;jew
Fan;ki;;;jow
Fer;kin;;;ke
Fi;kins;;;ke
Fi;la;;;ke
Fir;la;;;ke
Firn;latz;;;ken
Fo;le;;;ken
Fo;le;;;ken
Fran;len;;;ken
Frau;len;;;kin
Ga;lum;;;kin
Gar;ma;;;kis
Gar;ma;;;kis
Ger;men;;;kis
Ger;men;;;kis
Ger;mi;;;kis
Ger;mi;;;kow
Go;mo;;;kow
Grum;ne;;;leff
Har;ne;;;leff
He;ner;;;lin
Hins;ni;;;lin
Hol;pen;;;ling
Hor;per;;;ling
Hur;pers;;;loff
I;pru;;;loff
I;ra;;;loff
I;ran;;;neff
I;ras;;;neff
I;rau;;;neff
Il;re;;;neff
Irg;re;;;neff
Ja;rel;;;neff
Ja;ren;;;neff
Ja;ren;;;nen
Jan;ren;;;nen
Jan;ri;;;nen
Jann;ri;;;nen
Je;ro;;;nen
Ji;ru;;;nen
Jonk;run;;;nen
Juch;sa;;;nen
Jur;sa;;;nen
Ka;schin;;;nen
Kar;sel;;;nen
Ke;sem;;;nen
Ko;ta;;;nen
Ko;ta;;;nig
Kru;ta;;;nig
Kunz;ta;;;nin
La;tai;;;nin
Lai;tan;;;nin
Le;ti;;;ning
Li;ti;;;noff
Lo;ti;;;now
Lu;ti;;;ow
Lu;timp;;;ow
Man;to;;;pen
Mar;tran;;;pen
Mes;ve;;;reff
Mil;ve;;;reff
Mo;ve;;;rin
Mu;ven;;;row
Na;wa;;;row
No;we;;;scheff
Not;wer;;;scheff
Nur;win;;;scheff
O;;;;schin
Ol;;;;schoff
Ou;;;;schoff
Pa;;;;sek
Ped;;;;sen
Ped;;;;sen
Per;;;;sen
Por;;;;sen
Pu;;;;sen
Pus;;;;sen
Ra;;;;sen
Resch;;;;sen
Ro;;;;sen
Ru;;;;sen
Sal;;;;sen
Schor;;;;sen
Se;;;;ske
Se;;;;ske
Si;;;;ske
Sie;;;;ski
Sje;;;;ski
Stip;;;;ski
Stoer;;;;ski
Sur;;;;ski
Timp;;;;ski
Tsir;;;;ski
Tu;;;;ski
Tul;;;;steen
Tur;;;;tin
U;;;;tin
Ul;;;;tin
Ulm;;;;tin
Wal;;;;tin
Wal;;;;tin
Wal;;;;vist
Wals;;;;vist
Wod;;;;zig
Wolp;;;;zig
Wulf;;;;zig
