syl1;syl2;syl3;syl4;syl5
A;big;di;me;an
A;bo;jan;;at
A;bro;san;;azh
A;bros;;;ber
A;chis;;;bert
Ai;di;;;bert
Akh;dis;;;bin
Al;do;;;bin
Al;do;;;boj
Am;do;;;bor
Ans;dro;;;bow
Ar;dro;;;bron
Arl;ge;;;cho
Ba;go;;;chow
Ba;gu;;;dan
Baer;gu;;;dan
Baer;gu;;;dar
Ban;gus;;;dar
Be;gus;;;dej
Be;ha;;;der
Ber;ja;;;din
Bir;jel;;;dir
Bju;jo;;;dir
Blazh;ka;;;do
Bo;ko;;;do
Bo;lek;;;doj
Bo;li;;;doj
Bo;li;;;drej
Bo;lo;;;dril
Bo;ma;;;dril
Born;ma;;;dru
Bos;mi;;;dul
Bout;mi;;;ej
Bra;mis;;;el
Bra;mis;;;ew
Brad;mo;;;ew
Bro;ni;;;fen
Bur;nis;;;gaj
Che;nis;;;gej
Ches;nis;;;gej
Ches;nos;;;gej
Ches;ra;;;gej
Da;raen;;;gil
Da;ri;;;gis
Da;ri;;;go
Daan;rik;;;go
Dab;ris;;;goff
Dag;ris;;;goi
Dar;ro;;;gris
Dar;ro;;;gul
Das;rog;;;hag
De;run;;;il
Der;scha;;;ja
Di;si;;;ja
Dir;si;;;jan
Do;su;;;jan
Do;sud;;;jan
Dor;ta;;;jan
Dor;tel;;;jan
Dor;ti;;;jan
Dra;ti;;;jan
Dra;ti;;;jan
Dra;ti;;;jan
Duch;tis;;;jan
Dulg;tis;;;jan
Dun;tis;;;jan
Dun;tis;;;jan
Eb;tis;;;jar
Eb;to;;;jar
Eb;tos;;;je
El;tos;;;je
Elk;vo;;;jeff
Elk;wa;;;jel
Elk;we;;;jew
Er;zhi;;;jew
Erg;zi;;;jew
Ert;;;;jew
Et;;;;jew
Fa;;;;jew
Fa;;;;jew
Far;;;;jew
Fe;;;;jew
Fi;;;;jew
Firn;;;;jew
Fje;;;;jew
Fjin;;;;jew
Fo;;;;jew
Frad;;;;jew
Fre;;;;jew
Fre;;;;jew
Ga;;;;jew
Gal;;;;jew
Gan;;;;jil
Glaw;;;;jin
Go;;;;jo
Gol;;;;jon
Gos;;;;jow
Gos;;;;jow
Gos;;;;jow
Grim;;;;jow
Gu;;;;jud
Ha;;;;kej
Ha;;;;kil
Helm;;;;kil
Hur;;;;kin
I;;;;kisch
I;;;;ko
Il;;;;ko
Ir;;;;ko
Ir;;;;ko
Isch;;;;ko
Jaa;;;;ko
Jan;;;;ko
Jar;;;;koj
Jas;;;;kon
Jas;;;;kosch
Jen;;;;kow
Jo;;;;kul
Joost;;;;la
Ju;;;;lad
Ju;;;;laj
Ka;;;;lav
Kar;;;;lav
Kas;;;;lav
Kas;;;;lav
Ker;;;;lav
Ker;;;;lav
Ko;;;;lav
Kolk;;;;lav
Ky;;;;lav
La;;;;lav
La;;;;lav
Lan;;;;lav
Lar;;;;lav
Le;;;;lav
Leo;;;;lav
Lex;;;;lav
Lin;;;;lav
Litt;;;;lav
Lja;;;;lav
Lju;;;;law
Lor;;;;law
Lyu;;;;law
Ma;;;;leks
Ma;;;;lew
Mal;;;;li
Mal;;;;losh
Me;;;;low
Mer;;;;lu
Mew;;;;man
Mi;;;;mar
Mi;;;;mar
Mi;;;;mil
Mi;;;;mil
Mi;;;;mil
Mil;;;;min
Mis;;;;mir
Mjes;;;;mir
Mo;;;;mir
Nas;;;;mir
Neer;;;;mir
Nees;;;;mir
Ni;;;;mir
Ni;;;;mir
O;;;;mir
Ok;;;;mir
Ol;;;;mir
Ol;;;;mir
Or;;;;mir
Os;;;;naj
Pa;;;;ne
Pa;;;;ne
Pat;;;;nek
Pe;;;;nev
Pe;;;;nev
Ped;;;;new
Pet;;;;new
Pit;;;;ni
Pjat;;;;ni
Pje;;;;nisch
Pre;;;;no
Ra;;;;no
Ra;;;;now
Ra;;;;ost
Ra;;;;ow
Ras;;;;paj
Res;;;;per
Ro;;;;po
Ro;;;;pron
Ros;;;;rad
Rud;;;;ran
Rur;;;;ranj
Sa;;;;raw
Sam;;;;rej
Sem;;;;rel
Ser;;;;ri
Sil;;;;ri
Sil;;;;ri
Sla;;;;ri
Sta;;;;rik
Sta;;;;rik
Su;;;;ril
Sve;;;;ril
Swan;;;;ril
Swi;;;;ril
Tann;;;;ril
Tas;;;;rin
Tat;;;;rins
Tes;;;;ris
Thez;;;;ro
Thund;;;;row
Ti;;;;ru
To;;;;rulf
Tor;;;;run
Tra;;;;run
Tul;;;;scha
U;;;;schin
U;;;;schin
Ulm;;;;schin
Ulm;;;;schin
Ulm;;;;sej
Up;;;;sen
Ur;;;;sew
Ur;;;;sij
Va;;;;sil
Ve;;;;tan
Vi;;;;tar
Vi;;;;taw
Vla;;;;tew
Vla;;;;til
Vlas;;;;tin
Vo;;;;tin
Vra;;;;to
Wa;;;;trei
Wass;;;;van
Wlad;;;;vid
Wolp;;;;vin
Wul;;;;voj
Wulf;;;;win
Xeb;;;;win
Ya;;;;win
Ya;;;;yan
Za;;;;zel
Za;;;;zhan
