singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Abakus;Abakusse;;;;maskulinum;starkeDeklination;S4;Universal;Abakusse
Laterne;Laternen;abdeckbare;;;femininum;schwacheDeklination;W2;Universal;Abdeckbare Laternen
Amulett;Amulette;;;;neutrum;starkeDeklination;S4;Universal;Amulette
Angelausrüstung;Angelausrüstungen;;;;femininum;schwacheDeklination;W2;Universal;Angelausrüstungen
Armbrustbolzen;Armbrustbolzen;;;;maskulinum;starkeDeklination;S6;Universal;Armbrustbolzen
Armbrustbolzenbehälter;Armbrustbolzenbehälter;;;;maskulinum;starkeDeklination;S6;Universal;Armbrustbolzenbehälter
Blasrohrpfeile;Blasrohrpfeile;;;;maskulinum;starkeDeklination;S6;Universal;Blasrohrpfeile
Blatt;Blätter;;;Papier;neutrum;starkeDeklination;S2;Universal;Blätter Papier
Blendlaterne;Blendlaternen;;;;femininum;schwacheDeklination;W2;Universal;Blendlaternen
Brechstange;Brechstangen;;;;femininum;schwacheDeklination;W2;Universal;Brechstangen
Buch;Bücher;;;;neutrum;gemischteDeklination;W3;Universal;Bücher
Decke;Decken;;;;femininum;schwacheDeklination;W2;Universal;Decken
Drei-Schritt-Stange;Drei-Schritt-Stangen;;;;femininum;schwacheDeklination;W2;Universal;Drei-Schritt-Stangen
Eibenzauberstab;Eibenzauberstäbe;;;;maskulinum;starkeDeklination;S1;Universal;Eibenzauberstäbe
Eimer;Eimer;;;;maskulinum;starkeDeklination;S6;Universal;Eimer
Eisenkeile;Eisenkeile;;;;maskulinum;starkeDeklination;S6;Universal;Eisenkeile
Eisentopf;Eisentöpfe;;;;maskulinum;starkeDeklination;S1;Universal;Eisentöpfe
Emblem;Embleme;;;;neutrum;starkeDeklination;S4;Universal;Embleme
Enterhaken;Enterhaken;;;;maskulinum;starkeDeklination;S6;Universal;Enterhaken
Fackel;Fackeln;;;;femininum;schwacheDeklination;W2;Universal;Fackeln
Fangeisen;Fangeisen;;;;neutrum;starkeDeklination;S6;Universal;Fangeisen
Fass;Fässer;;;;neutrum;starkeDeklination;S2;Universal;Fässer
Kleidung;Kleidungen;feine;;;femininum;schwacheDeklination;W2;Universal;Feine Kleidungen
Fernglas;Ferngläser;;;;neutrum;starkeDeklination;S2;Universal;Ferngläser
Tintenfläschchen;Tintenfläschchen;;;;neutrum;starkeDeklination;S2;Universal;Tintenfläschchen
Alchemistenfeuerflasche;Alchemistenfeuerflaschen;;;;femininum;schwacheDeklination;W2;Universal;Alchemistenfeuerflaschen
Ölflasche;Ölflaschen;;;;femininum;schwacheDeklination;W2;Universal;Ölflaschen
Flaschenzug;Flaschenzüge;;;;maskulinum;starkeDeklination;S1;Universal;Flaschenzüge
Gegengiftphiole;Gegengiftphiolen;;;;femininum;schwacheDeklination;W2;Universal;Gegengiftphiolen
Kleidung;Kleidungen;gewöhnliche;;;femininum;schwacheDeklination;W2;Universal;Gewöhnliche Kleidungen
Giftphiole;Giftphiolen;;;;femininum;schwacheDeklination;W2;Universal;Giftphiolen
Glasflasche;Glasflaschen;;;;femininum;schwacheDeklination;W2;Universal;Glasflaschen
Glocke;Glocken;;;;femininum;schwacheDeklination;W2;Universal;Glocken
Hammer;Hämmer;;;;maskulinum;starkeDeklination;S2;Universal;Hämmer
Handschellen;Handschellen;;;;femininum;schwacheDeklination;W2;Universal;Handschellen
Hanfseil;Hanfseile;;;;neutrum;starkeDeklination;S4;Universal;Hanfseile
Heilerausrüstung;Heilerausrüstungen;;;;femininum;schwacheDeklination;W2;Universal;Heilerausrüstungen
Heiltrank;Heiltränke;;;;maskulinum;starkeDeklination;S1;Universal;Heiltränke
Holzstab;Holzstäbe;;;;maskulinum;starkeDeklination;S1;Universal;Holzstäbe
Kaufmannswaage;Kaufmannswaagen;;;;femininum;schwacheDeklination;W2;Universal;Kaufmannswaagen
Kerze;Kerzen;;;;femininum;schwacheDeklination;W2;Universal;Kerzen
Kette;Ketten;;;;femininum;schwacheDeklination;W2;Universal;Ketten
Kiste;Kisten;;;;femininum;schwacheDeklination;W2;Universal;Kisten
Kletterausrüstung;Kletterausrüstungen;;;;femininum;schwacheDeklination;W2;Universal;Kletterausrüstungen
Kletterhaken;Kletterhaken;;;;maskulinum;starkeDeklination;S6;Universal;Kletterhaken
Köcher;Köcher;;;;maskulinum;starkeDeklination;S6;Universal;Köcher
Korb;Körbe;;;;maskulinum;starkeDeklination;S1;Universal;Körbe
Kostüm;Kostüme;;;;neutrum;starkeDeklination;S5;Universal;Kostüme
Krähenfuß;Krähenfüße;;;;maskulinum;starkeDeklination;S1;Universal;Krähenfüße
Kreide;Kreiden;;;;femininum;schwacheDeklination;W2;Universal;Kreiden
Kristall;Kristalle;;;;maskulinum;starkeDeklination;S4;Universal;Kristalle
Kugel;Kugeln;;;;femininum;schwacheDeklination;W2;Universal;Kugeln
Lampe;Lampen;;;;femininum;schwacheDeklination;W2;Universal;Lampen
Leiter;Leitern;;;;femininum;schwacheDeklination;W2;Universal;Leitern
Materialkomponentenbeutel;Materialkomponentenbeutel;;;;maskulinum;starkeDeklination;S6;Universal;Materialkomponentenbeutel
Metallkügelchen;Metallkügelchen;;;;neutrum;starkeDeklination;S6;Universal;Metallkügelchen
Mistelzweigsprößling;Mistelzweigsprößlinge;;;;maskulinum;starkeDeklination;S4;Universal;Mistelzweigsprößlinge
Blatt;Blätter;;;Pergament;neutrum;starkeDeklination;S2;Universal;Blätter Pergament
Pfeil;Pfeile;;;;maskulinum;starkeDeklination;S4;Universal;Pfeile
Phiole;Phiolen;;;;femininum;schwacheDeklination;W2;Universal;Phiolen
Parfümphiole;Parfümphiolen;;;;femininum;schwacheDeklination;W2;Universal;Parfümphiolen
Säurephiole;Säurephiolen;;;;femininum;schwacheDeklination;W2;Universal;Säurephiolen
Reisegeschirr;Reisegeschirre;;;;neutrum;starkeDeklination;S4;Universal;Reisegeschirre
Reisekleidung;Reisekleidungen;;;;femininum;schwacheDeklination;W2;Universal;Reisekleidungen
Reliquie;Reliquien;;;;femininum;schwacheDeklination;W2;Universal;Reliquien
Robe;Roben;;;;femininum;schwacheDeklination;W2;Universal;Roben
Rucksack;Rucksäcke;;;;maskulinum;starkeDeklination;S1;Universal;Rucksäcke
Rute;Ruten;;;;femininum;schwacheDeklination;W2;Universal;Ruten
Sack;Säcke;;;;maskulinum;starkeDeklination;S1;Universal;Säcke
Sanduhr;Sanduhren;;;;femininum;schwacheDeklination;W2;Universal;Sanduhren
Schaufel;Schaufeln;;;;femininum;schwacheDeklination;W2;Universal;Schaufeln
Schlafsack;Schlafsäcke;;;;maskulinum;starkeDeklination;S1;Universal;Schlafsäcke
Schleuderkugel;Schleuderkugeln;;;;femininum;schwacheDeklination;W2;Universal;Schleuderkugeln
Schloss;Schlösser;;;;neutrum;starkeDeklination;S2;Universal;Schlösser
Schneeschuh;Schneeschuhe;;;;maskulinum;starkeDeklination;S4;Universal;Schneeschuhe
Schreibfeder;Schreibfedern;;;;femininum;schwacheDeklination;W2;Universal;Schreibfedern
