singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Alchemist;Alchemisten;;;;maskulinum;schwacheDeklination;W1;Universal;Alchemisten
Apotheker;Apotheker;;;;maskulinum;starkeDeklination;S6;Universal;Apotheker
Architekt;Architekten;;;;maskulinum;schwacheDeklination;W1;Universal;Architekten
Auftragsmörder;Auftragsmörder;;;;maskulinum;starkeDeklination;S6;Universal;Auftragsmörder
Bäcker;Bäcker;;;;maskulinum;starkeDeklination;S6;Universal;Bäcker
Bandit;Banditen;;;;maskulinum;schwacheDeklination;W1;Universal;Banditen
Bogenmacher;Bogenmacher;;;;maskulinum;starkeDeklination;S6;Universal;Bogenmacher
Bürgermeister;Bürgermeister;;;;maskulinum;starkeDeklination;S6;Universal;Bürgermeister
Barde;Barden;;;;maskulinum;schwacheDeklination;W1;Universal;Barden
Bauer;Bauern;;;;maskulinum;schwacheDeklination;W1;Universal;Bauern
Bettler;Bettler;;;;maskulinum;starkeDeklination;S6;Universal;Bettler
Butler;Butler;;;;maskulinum;starkeDeklination;S6;Universal;Butler
Diener;Diener;;;;maskulinum;starkeDeklination;S6;Universal;Diener
Bogenschütze;Bogenschützen;;;;maskulinum;schwacheDeklination;W1;Universal;Bogenschützen
Bote;Boten;;;;maskulinum;schwacheDeklination;W1;Universal;Boten
Brauer;Brauer;;;;maskulinum;starkeDeklination;S6;Universal;Brauer
Fallensteller;Fallensteller;;;;maskulinum;starkeDeklination;S6;Universal;Fallensteller
Fischer;Fischer;;;;maskulinum;starkeDeklination;S6;Universal;Fischer
Fremdenführer;Fremdenführer;;;;maskulinum;starkeDeklination;S6;Universal;Fremdenführer
Diplomat;Diplomaten;;;;maskulinum;schwacheDeklination;W1;Universal;Diplomaten
Edelsteinschneider;Edelsteinschneider;;;;maskulinum;starkeDeklination;S6;Universal;Edelsteinschneider
Gärtner;Gärtner;;;;maskulinum;starkeDeklination;S6;Universal;Gärtner
Gerber;Gerber;;;;maskulinum;starkeDeklination;S6;Universal;Gerber
Glasbläser;Glasbläser;;;;maskulinum;starkeDeklination;S6;Universal;Glasbläser
Hellseher;Hellseher;;;;maskulinum;starkeDeklination;S6;Universal;Hellseher
Jagdaufseher;Jagdaufseher;;;;maskulinum;starkeDeklination;S6;Universal;Jagdaufseher
Gelehrte;Gelehrte;;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Gelehrte
Jäger;Jäger;;;;maskulinum;starkeDeklination;S6;Universal;Jäger
Kerzenmacher;Kerzenmacher;;;;maskulinum;starkeDeklination;S6;Universal;Kerzenmacher
Gladiator;Gladiatoren;;;;maskulinum;gemischteDeklination;W3;Universal;Gladiatoren
Kleriker;Kleriker;;;;maskulinum;starkeDeklination;S6;Universal;Kleriker
