singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Apotheke;Apotheken;;;;femininum;schwacheDeklination;W2;Universal;Apotheken
Schießstand;Schießstände;;;;maskulinum;starkeDeklination;S1;Universal;Schießstände
Arena;Arenen;;;;femininum;schwacheDeklination;W2;Universal;Arenen
Waffenkammer;Waffenkammern;;;;femininum;schwacheDeklination;W2;Universal;Waffenkammern
Bank;Bänke;;;;femininum;schwacheDeklination;W2;Universal;Bänke
Kaserne;Kasernen;;;;femininum;schwacheDeklination;W2;Universal;Kasernen
Uhrenturm;Uhrentürme;;;;maskulinum;starkeDeklination;S1;Universal;Uhrentürme
Gießerei;Gießereien;;;;femininum;schwacheDeklination;W2;Universal;Gießereien
Torhaus;Torhäuser;;;;neutrum;starkeDeklination;S2;Universal;Torhäuser
Haus;Häuser;;;;neutrum;starkeDeklination;S2;Universal;Häuser
Kerker;Kerker;;;;maskulinum;starkeDeklination;S6;Universal;Kerker
Mühle;Mühlen;;;;femininum;schwacheDeklination;W2;Universal;Mühlen
Münzstätte;Münzstätten;;;;femininum;schwacheDeklination;W2;Universal;Münzstätten
Ruine;Ruinen;;;;femininum;schwacheDeklination;W2;Universal;Ruinen
Laden;Läden;;;;maskulinum;starkeDeklination;S5;Universal;Läden
Pferdestall;Pferdeställe;;;;maskulinum;starkeDeklination;S1;Universal;Pferdeställe
Taverne;Tavernen;;;;femininum;schwacheDeklination;W2;Universal;Tavernen
Tempel;Tempel;;;;maskulinum;starkeDeklination;S6;Universal;Tempel
Theater;Theater;;;;neutrum;starkeDeklination;S6;Universal;Theater
Universität;Universitäten;;;;femininum;schwacheDeklination;W2;Universal;Universitäten
Apotheke;Apotheken;;;;femininum;schwacheDeklination;W2;Universal;Apotheken
Schießstand;Schießstände;;;;maskulinum;starkeDeklination;S1;Universal;Schießstände
Arena;Arenen;;;;femininum;schwacheDeklination;W2;Universal;Arenen
Waffenkammer;Waffenkammern;;;;femininum;schwacheDeklination;W2;Universal;Waffenkammern
Bank;Bänke;;;;femininum;schwacheDeklination;S3;Universal;Bänke
Kaserne;Kasernen;;;;femininum;schwacheDeklination;W2;Universal;Kasernen
Uhrenturm;Uhrentürme;;;;maskulinum;starkeDeklination;S1;Universal;Uhrentürme
Gießerei;Gießereien;;;;femininum;schwacheDeklination;W2;Universal;Gießereien
Torhaus;Torhäuser;;;;neutrum;starkeDeklination;S2;Universal;Torhäuser
Haus;Häuser;;;;neutrum;starkeDeklination;S2;Universal;Häuser
Kerker;Kerker;;;;maskulinum;starkeDeklination;S6;Universal;Kerker
Mühle;Mühlen;;;;femininum;schwacheDeklination;W2;Universal;Mühlen
Münzstätte;Münzstätten;;;;femininum;schwacheDeklination;W2;Universal;Münzstätten
Ruine;Ruinen;;;;femininum;schwacheDeklination;W2;Universal;Ruinen
Laden;Läden;;;;maskulinum;starkeDeklination;S5;Universal;Läden
Pferdestall;Pferdeställe;;;;maskulinum;starkeDeklination;S1;Universal;Pferdeställe
Taverne;Tavernen;;;;femininum;schwacheDeklination;W2;Universal;Tavernen
Tempel;Tempel;;;;maskulinum;starkeDeklination;S6;Universal;Tempel
Theater;Theater;;;;neutrum;starkeDeklination;S6;Universal;Theater
Universität;Universitäten;;;;femininum;schwacheDeklination;W2;Universal;Universitäten
