singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Aluminium;Aluminium;;;;neutrum;eigenname;eigenname;Universal;Aluminium
Messing;Messing;;;;neutrum;eigenname;eigenname;Universal;Messing
Bronze;Bronze;;;;neutrum;eigenname;eigenname;Universal;Bronze
Kobalt;Kobalt;;;;neutrum;eigenname;eigenname;Universal;Kobalt
Kupfer;Kupfer;;;;neutrum;eigenname;eigenname;Universal;Kupfer
Gold;Gold;;;;neutrum;eigenname;eigenname;Universal;Gold
Iridium;Iridium;;;;neutrum;eigenname;eigenname;Universal;Iridium
Eisen;Eisen;;;;neutrum;eigenname;eigenname;Universal;Eisen
Blei;Blei;;;;neutrum;eigenname;eigenname;Universal;Blei
Magnesium;Magnesium;;;;neutrum;eigenname;eigenname;Universal;Magnesium
Quecksilber;Quecksilber;;;;neutrum;eigenname;eigenname;Universal;Quecksilber
Nickel;Nickel;;;;neutrum;eigenname;eigenname;Universal;Nickel
Platin;Platin;;;;neutrum;eigenname;eigenname;Universal;Platin
Silber;Silber;;;;neutrum;eigenname;eigenname;Universal;Silber
Stahl;Stahl;;;;neutrum;eigenname;eigenname;Universal;Stahl
Zinn;Zinn;;;;neutrum;eigenname;eigenname;Universal;Zinn
Wolfram;Wolfram;;;;neutrum;eigenname;eigenname;Universal;Wolfram
Uran;Uran;;;;neutrum;eigenname;eigenname;Universal;Uran
Zink;Zink;;;;neutrum;eigenname;eigenname;Universal;Zink
Elektrum;Elektrum;;;;neutrum;eigenname;eigenname;Universal;Elektrum
