singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Bekehrung;Bekehrungen;;;;femininum;schwacheDeklination;W2;Universal;Bekehrungen
Heilige;Heilige;;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Heilige
Ideologie;Ideologien;;;;femininum;schwacheDeklination;W2;Universal;Ideologien
Ikone;Ikonen;;;;femininum;schwacheDeklination;W2;Universal;Ikonen
Intervention;Interventionen;;;;femininum;schwacheDeklination;W2;Universal;Interventionen
Wunder;Wunder;;;;neutrum;starkeDeklination;S6;Universal;Wunder
Pantheon;Pantheons;;;;maskulinum;fremdWort;fremdWort;Universal;Pantheons
Sünde;Sünden;;;;femininum;schwacheDeklination;W2;Universal;Sünden
Geist;Geister;;;;maskulinum;starkeDeklination;S2;Universal;Geister
Seele;Seelen;;;;femininum;schwacheDeklination;W2;Universal;Seelen
Symbol;Symbole;;;;neutrum;starkeDeklination;S4;Universal;Symbole
Tabu;Tabus;;;;neutrum;fremdWort;fremdWort;Universal;Tabus
Abgesandte;Abgesandte;;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Abgesandte
Absolution;Absolutionen;;;;femininum;schwacheDeklination;W2;Universal;Absolutionen
Apostel;Apostel;;;;maskulinum;starkeDeklination;S6;Universal;Apostel
Gebet;Gebete;;;;neutrum;starkeDeklination;S4;Universal;Gebete
Gebot;Gebote;;;;neutrum;starkeDeklination;S4;Universal;Gebote
Heiligtum;Heiligtümer;;;;neutrum;starkeDeklination;S2;Universal;Heiligtümer
Ritual;Rituale;;;;neutrum;starkeDeklination;S4;Universal;Rituale
Prophet;Propheten;;;;maskulinum;schwacheDeklination;W1;Universal;Propheten
