singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Schlucht;Schluchten;;;;femininum;schwacheDeklination;W2;Universal;Schluchten
Höhle;Höhlen;;;;femininum;schwacheDeklination;W2;Universal;Höhlen
Wüste;Wüsten;;;;femininum;schwacheDeklination;W2;Universal;Wüsten
Wald;Wälder;;;;maskulinum;starkeDeklination;S2;Universal;Wälder
Gletscher;Gletscher;;;;maskulinum;starkeDeklination;S6;Universal;Gletscher
Hügel;Hügel;;;;maskulinum;starkeDeklination;S6;Universal;Hügel
Unterreich;Unterreiche;;;;neutrum;starkeDeklination;S4;Universal;Unterreiche
Dschungel;Dschungel;;;;maskulinum;starkeDeklination;S6;Universal;Dschungel
See;Seen;;;;maskulinum;gemischteDeklination;W3;Universal;Seen
Tafelberg;Tafelberge;;;;maskulinum;starkeDeklination;S4;Universal;Tafelberge
Berg;Berge;;;;maskulinum;starkeDeklination;S4;Universal;Berge
Meer;Meere;;;;neutrum;starkeDeklination;S4;Universal;Meere
Steppe;Steppen;;;;femininum;schwacheDeklination;W2;Universal;Steppen
Fluss;Flüsse;;;;maskulinum;starkeDeklination;S1;Universal;Flüsse
Salzwüste;Salzwüsten;;;;femininum;schwacheDeklination;W2;Universal;Salzwüsten
Savanne;Savannen;;;;femininum;schwacheDeklination;W2;Universal;Savannen
Sumpf;Sümpfe;;;;maskulinum;starkeDeklination;S1;Universal;Sümpfe
Tundra;Tundren;;;;femininum;schwacheDeklination;W2;Universal;Tundren
Vulkan;Vulkane;;;;maskulinum;starkeDeklination;S4;Universal;Vulkane
Ödland;Ödländer;;;;neutrum;starkeDeklination;S2;Universal;Ödländer
