singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Bär;Bären;;;;maskulinum;schwacheDeklination;W1;Universal;Säugetiere,Bären
Käfer;Käfer;;;;maskulinum;starkeDeklination;S6;Universal;Insekten,Käfer
Katze;Katzen;;;;femininum;schwacheDeklination;W2;Universal;Säugetiere,Katzen
Reh;Rehe;;;;neutrum;starkeDeklination;S4;Universal;Säugetiere,Rehe
Hund;Hunde;;;;maskulinum;starkeDeklination;S4;Universal;Säugetiere,Hunde
Delphin;Delphine;;;;maskulinum;starkeDeklination;S4;Universal;Säugetiere,Delphine
Esel;Esel;;;;maskulinum;starkeDeklination;S6;Universal;Säugetiere,Esel
Adler;Adler;;;;maskulinum;starkeDeklination;S6;Universal;Vögel,Adler
Frosch;Frösche;;;;maskulinum;starkeDeklination;S1;Universal;Amphibien,Frösche
Löwe;Löwen;;;;maskulinum;schwacheDeklination;W1;Universal;Säugetiere,Löwen
Echse;Echsen;;;;femininum;schwacheDeklination;W2;Universal;Reptilien,Echsen
Orang-Utan;Orang-Utans;;;;maskulinum;fremdWort;fremdWort;Universal;Säugetiere,Orang-Utans
Otter;Otter;;;;maskulinum;schwacheDeklination;W1;Universal;Säugetiere,Otter
Schwein;Schweine;;;;neutrum;starkeDeklination;S4;Universal;Säugetiere,Schweine
Hase;Hasen;;;;maskulinum;schwacheDeklination;W1;Universal;Säugetiere,Hasen
Rabe;Raben;;;;maskulinum;schwacheDeklination;W1;Universal;Vögel,Raben
Lachs;Lachse;;;;maskulinum;starkeDeklination;S4;Universal;Fische,Lachse
Tiger;Tiger;;;;maskulinum;starkeDeklination;S6;Universal;Säugetiere,Tiger
Wal;Wale;;;;maskulinum;starkeDeklination;S4;Universal;Säugetiere,Wale
Wolf;Wölfe;;;;maskulinum;starkeDeklination;S1;Universal;Säugetiere,Wölfe
