singular;plural;adjective;prefix;suffix;gender;declinationRule;declinationPattern;campaignSetting;tags
Aarakocra;Aarakocra;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Aarakocra
Aasimar;Aasimar;gefallene;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Aasimar
Astralelf;Astralelfen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Astralelfen
Autognom;Autognome;;;;maskulinum;starkeDeklination;S4;Universal;Konstrukt,Autognome
Beschützer-Aasimar;Beschützer-Aasimar;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Beschützer-Aasimar
Blasself;Blasselfen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Elfen,Blasselfen
Bullywug;Bullywugs;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Bullywug
Dämmerungself;Dämmerungselfen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Elfen,Dämmerungselfen
Derro;Derro;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Derro
Dhampir;Dhampire;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Dhampire
Drachenblütige;Drachenblütige;chromatische;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Humanoide,Drachenblütige,Chromatische Drachenblütige
Drachenblütige;Drachenblütige;drachlingsblütige;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Humanoide,Drachenblütige,Drachlingsblütige Drachenblütige
Drachenblütige;Drachenblütige;metallische;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Humanoide,Drachenblütige,Metallische Drachenblütige
Dunkelelf;Dunkelelfen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Elfen,Dunkelelfen
Dunkelzwerg;Dunkelzwerge;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Zwerge,Dunkelzwerge
Echsenmensch;Echsenmenschen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Echsenmenschen
Edelstein-Drachenblütige;Edelstein-Drachenblütige;;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Humanoide,Drachenblütige,Edelstein-Drachenblütige
Eladrin;Eladrin;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Elfen,Eladrin
Erd-Genasi;Erd-Genasi;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Genasi,Erd-Genasi
Fee;Feen;;;;femininum;schwacheDeklination;W2;Universal;Feenwesen,Feen
Felsengnom;Felsengnome;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Gnome,Felsengnome
Feuer-Genasi;Feuer-Genasi;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Genasi,Feuer-Genasi
Feuermolch;Feuermolche;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Feuermolche
Firbolg;Firbolgs;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Firbolg
Flinkläufer-Wandler;Flinkläufer-Wandler;;;;maskulinum;starkeDeklination;S6;Universal;Humanoide,Gestaltwandler,Wandler,Flinkläufer-Wandler
Gebirgzwerg;Gebirgzwerge;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Zwerge,Gebirgzwerge
Geißel-Aasimar;Geißel-Aasimar;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Aasimar,Geißel-Aasimar
Geisterwaisen-Halbling;Geisterwaisen-Halblinge;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Halblinge,Geisterwaisen-Halblinge
Giff;Giff;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Giff
Githyanki;Githyanki;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Githyanki
Githzerai;Githzerai;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Githzerai
Gnoll;Gnolle;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Gnolle
Goblin;Goblins;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Goblinoide,Goblins
Goliath;Goliaths;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Goliaths
Grimlock;Grimlocks;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Grimlocks
Grottenschrat;Grottenschrate;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Goblinoide,Grottenschrate
Grung;Grungs;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Grung
Hadozee;Hadozee;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Hadozee
Halbdrache;Halbdrachen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Halbdrachen
Halbelf;Halbelfen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Elfen,Halbelfen
Halbling;Halblinge;stämmige;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Halblinge,stämmige Halblinge
Halbork;Halborks;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Orks,Halborks
Harengon;Harengon;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Harengon
Hexenblütige;Hexenblütige;;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Feenwesen,Hexenblütige
Hobgoblin;Hobgoblins;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Goblinoide,Hobgoblins
Hochelf;Hochelfen;;;;maskulinum;schwacheDeklination;W1;Universal;Humanoide,Elfen,Hochelfen
Hügelzwerg;Hügelzwerge;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Zwerge,Hügelzwerge
Kalashtar;Kalashtar;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Kalashtar
Kender;Kender;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Kender
Kenku;Kenkus;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Kenkus
Kobold;Kobolde;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Kobolde
Kraul;Kraul;;;;maskulinum;eigenname;eigenname;Universal;Humanoide,Kraul
Kriegsgeschmiedete;Kriegsgeschmiedete;;;;maskulinum;substantiviertesAdjektiv;substantiviertesAdjektiv;Universal;Humanoide,Kriegsgeschmiedete
Kuo-Toa;Kuo-Toas;;;;maskulinum;fremdWort;fremdWort;Universal;Humanoide,Kuo-Toas
Langzahn-Wandler;Langzahn-Wandler;;;;maskulinum;starkeDeklination;S6;Universal;Humanoide,Gestaltwandler,Wandler,Langzahn-Wandler
Lavakind;Lavakinder;;;;neutrum;starkeDeklination;S6;Universal;Humanoide,Lavakinder
Leichtfuß-Halbling;Leichtfuß-Halblinge;;;;maskulinum;starkeDeklination;S4;Universal;Humanoide,Halblinge,Leichtfuß-Halblinge
